competition_id,sport_id,name,season_year,level,start_date,end_date,source_id
fifa_ranking,football,FIFA Men's Ranking,,national_team_ranking,1992-12-31,2024-09-19,fifa_ranking_history
fifa_world_cup,football,FIFA World Cup,,national_team_tournament,1930-12-31,2022-12-18,world_cup_history
icc_men_test_team_ranking,cricket,ICC Men's Test Team Ranking,,national_team_ranking,2026-01-08,2026-01-08,icc_team_ranking_history
icc_men_odi_team_ranking,cricket,ICC Men's ODI Team Ranking,,national_team_ranking,2026-01-27,2026-01-27,icc_team_ranking_history
icc_men_t20i_team_ranking,cricket,ICC Men's T20I Team Ranking,,national_team_ranking,2026-02-20,2026-02-20,icc_team_ranking_history
fifa_women_ranking,football,FIFA Women's Ranking,,national_team_ranking,2003-12-15,2025-12-11,fifa_women_ranking_history
world_rugby_men_ranking,rugby,World Rugby Men's Rankings,,national_team_ranking,2003-11-24,2026-02-16,world_rugby_ranking_history
world_rugby_women_ranking,rugby,World Rugby Women's Rankings,,national_team_ranking,2016-12-26,2026-02-16,world_rugby_ranking_history
fifa_womens_world_cup,football,FIFA Women's World Cup,,national_team_tournament,1991-11-30,2023-08-20,fifa_women_world_cup_history
rugby_world_cup_men,rugby,Rugby World Cup (Men),,national_team_tournament,1987-06-20,2023-10-28,rugby_world_cup_history
rugby_world_cup_women,rugby,Rugby World Cup (Women),,national_team_tournament,1991-04-14,2025-09-27,rugby_world_cup_history
fiba_basketball_world_cup_men,basketball,FIBA Basketball World Cup (Men),,national_team_tournament,1950-12-31,2023-12-31,fiba_basketball_world_cup_history
fiba_basketball_world_cup_women,basketball,FIBA Women's Basketball World Cup,,national_team_tournament,1953-12-31,2022-12-31,fiba_basketball_world_cup_history
fiba_men_ranking,basketball,FIBA Men's World Ranking,,national_team_ranking,2010-12-31,2025-12-02,fiba_ranking_history
fiba_women_ranking,basketball,FIBA Women's World Ranking,,national_team_ranking,2010-12-31,2025-08-08,fiba_ranking_history
ihf_handball_world_championship_men,handball,IHF World Men's Handball Championship,,national_team_tournament,1938-12-31,2025-12-31,ihf_handball_world_championship_history
ihf_handball_world_championship_women,handball,IHF Women's Handball World Championship,,national_team_tournament,1957-12-31,2025-12-31,ihf_handball_world_championship_history
icc_cricket_world_cup_men,cricket,ICC Cricket World Cup (Men),,national_team_tournament,1975-12-31,2023-12-31,icc_cricket_world_cup_history
icc_cricket_world_cup_women,cricket,ICC Women's Cricket World Cup,,national_team_tournament,1973-12-31,2022-12-31,icc_cricket_world_cup_history
world_athletics_championships,athletics,World Athletics Championships,,international_championship,2001-12-31,2025-12-31,world_athletics_championships_history
olympics_summer,olympic-games,Summer Olympics,,multi_sport_games,2000-01-01,2024-12-31,olympics_keith_history
olympics_winter,olympic-games,Winter Olympics,,multi_sport_games,2002-01-01,2026-12-31,olympics_keith_history
