year,event_date,gender,discipline_name,event_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance,source_url
2001,2001-01-01,women,artistic swimming,Women's Duet routine,1,gold,team,,Japan,JPN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,artistic swimming,Women's Duet routine,2,silver,team,,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,artistic swimming,Women's Duet routine,3,bronze,team,,Canada,CAN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,artistic swimming,Women's Solo routine,1,gold,athlete,Olga Brusnikina,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,artistic swimming,Women's Solo routine,2,silver,athlete,Virginie Dedieu,France,FRA,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,artistic swimming,Women's Solo routine,3,bronze,athlete,Miya Tachibana,Japan,JPN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,artistic swimming,Women's Team routine,1,gold,team,,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,artistic swimming,Women's Team routine,2,silver,team,,Japan,JPN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,women,artistic swimming,Women's Team routine,3,bronze,team,,Canada,CAN,,https://en.wikipedia.org/wiki/Synchronised_swimming_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 1 m springboard,1,gold,athlete,Wang Feng,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 1 m springboard,2,silver,athlete,Wang Tianling,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 1 m springboard,3,bronze,athlete,Alexander Dobroskok,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 10 m platform,1,gold,athlete,Tian Liang,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 10 m platform,2,silver,athlete,Alexandre Despatie,Canada,CAN,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 10 m platform,3,bronze,athlete,Mathew Helm,Australia,AUS,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 10 m platform synchro,1,gold,team,,China,CHN,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 10 m platform synchro,2,silver,team,,Mexico,MEX,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 10 m platform synchro,3,bronze,team,,Ukraine,UKR,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
2001,2001-01-01,men,diving,Men's 3 m springboard,1,gold,athlete,Dmitri Sautin,Russian Federation,RUS,,https://en.wikipedia.org/wiki/Diving_at_the_2001_World_Aquatics_Championships
