year,event_date,gender,discipline_name,rank,medal,participant_type,athlete_name,country_name,country_code,performance
2001,2001-12-31,men,"10,000 m",1,gold,athlete,Charles Kamathi,Kenya,KEN,27:53.25
2001,2001-12-31,men,"10,000 m",2,silver,athlete,Assefa Mezgebu,Ethiopia,ETH,27:53.97
2001,2001-12-31,men,"10,000 m",3,bronze,athlete,Haile Gebrselassie,Ethiopia,ETH,27:54.41
2001,2001-12-31,men,100 m,1,gold,athlete,Maurice Greene,United States,USA,9.82 (WL)
2001,2001-12-31,men,100 m,2,silver,athlete,Bernard Williams,United States,USA,9.94 2 (PB)
2001,2001-12-31,men,100 m,3,bronze,athlete,Ato Boldon,Trinidad and Tobago,TTO,9.98
2001,2001-12-31,men,110 m hurdles,1,gold,athlete,Allen Johnson,United States,USA,13.04 (WL)
2001,2001-12-31,men,110 m hurdles,2,silver,athlete,Anier García,Cuba,CUB,13.07 (SB)
2001,2001-12-31,men,110 m hurdles,3,bronze,athlete,Dudley Dorival,Haiti,HTI,13.25 (NR)
2001,2001-12-31,men,1500 m,1,gold,athlete,Hicham El Guerrouj,Morocco,MAR,3:30.68
2001,2001-12-31,men,1500 m,2,silver,athlete,Bernard Lagat,Kenya,KEN,3:31.10
2001,2001-12-31,men,1500 m,3,bronze,athlete,Driss Maazouzi,France,FRA,3:31.54 (SB)
2001,2001-12-31,men,200 m,1,gold,athlete,Konstantinos Kenteris,Greece,GRC,20.04
2001,2001-12-31,men,200 m,2,silver,athlete,Christopher Williams,Jamaica,JAM,20.20
2001,2001-12-31,men,200 m,3,bronze,athlete,Kim Collins,Saint Kitts and Nevis,KNA,20.30 (NR St.Kitts)
2001,2001-12-31,men,3000 m st.,1,gold,athlete,Reuben Kosgei,Kenya,KEN,8:15.16
2001,2001-12-31,men,3000 m st.,2,silver,athlete,Ali Ezzine,Morocco,MAR,8:16.21
2001,2001-12-31,men,3000 m st.,3,bronze,athlete,Bernard Barmasai,Kenya,KEN,8:16.59
2001,2001-12-31,men,4 × 100 m relay,1,gold,team,,South Africa,ZAF,38.47 (NR)
2001,2001-12-31,men,4 × 100 m relay,2,silver,team,,Trinidad and Tobago,TTO,38.58 (NR)
2001,2001-12-31,men,4 × 100 m relay,3,bronze,team,,Australia,AUS,38.83 (SB)
