year,event_date,discipline_key,discipline_name,gender,rank,medal,participant_type,participant_name,country_name
1977,1977-12-31,mens_doubles,Men's doubles,men,1,gold,team,Tjun Tjun / Johan Wahjudi,Indonesia
1977,1977-12-31,mens_doubles,Men's doubles,men,2,silver,team,Ade Chandra / Christian Hadinata,Indonesia
1977,1977-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Bengt Fröman / Thomas Kihlström,Sweden
1977,1977-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Ray Stevens / Mike Tredgett,England
1977,1977-12-31,mens_singles,Men's singles,men,1,gold,athlete,Flemming Delfs,Denmark
1977,1977-12-31,mens_singles,Men's singles,men,2,silver,athlete,Svend Pri,Denmark
1977,1977-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Iie Sumirat,Indonesia
1977,1977-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Thomas Kihlström,Sweden
1977,1977-12-31,mixed_doubles,Mixed doubles,mixed,1,gold,team,Steen Skovgaard / Lene Køppen,Denmark
1977,1977-12-31,mixed_doubles,Mixed doubles,mixed,2,silver,team,Derek Talbot / Gillian Gilks,England
1977,1977-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Billy Gilliland / Joanne Flockhart,Scotland
1977,1977-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Mike Tredgett / Nora Perry,England
1977,1977-12-31,womens_doubles,Women's doubles,women,1,gold,team,Etsuko Toganoo / Emiko Ueno,Japan
1977,1977-12-31,womens_doubles,Women's doubles,women,2,silver,team,Marjan Ridder / Joke van Beusekom,Netherlands
1977,1977-12-31,womens_doubles,Women's doubles,women,3,bronze,team,Inge Borgstrøm / Pia Nielsen,Denmark
1977,1977-12-31,womens_doubles,Women's doubles,women,3,bronze,team,Margaret Beck / Nora Perry,England
1977,1977-12-31,womens_singles,Women's singles,women,1,gold,athlete,Lene Køppen,Denmark
1977,1977-12-31,womens_singles,Women's singles,women,2,silver,athlete,Gillian Gilks,England
1977,1977-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Hiroe Yuki,Japan
1977,1977-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Margaret Lockwood,England
1980,1980-12-31,mens_doubles,Men's doubles,men,1,gold,team,Ade Chandra / Christian Hadinata,Indonesia
1980,1980-12-31,mens_doubles,Men's doubles,men,2,silver,team,Rudy Heryanto / Hariamanto Kartono,Indonesia
1980,1980-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Flemming Delfs / Steen Skovgaard,Denmark
1980,1980-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Jalani Sidek / Misbun Sidek,Malaysia
1980,1980-12-31,mens_singles,Men's singles,men,1,gold,athlete,Rudy Hartono,Indonesia
1980,1980-12-31,mens_singles,Men's singles,men,2,silver,athlete,Liem Swie King,Indonesia
1980,1980-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Hadiyanto,Indonesia
1980,1980-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Lius Pongoh,Indonesia
1980,1980-12-31,mixed_doubles,Mixed doubles,mixed,1,gold,team,Christian Hadinata / Imelda Wiguna,Indonesia
1980,1980-12-31,mixed_doubles,Mixed doubles,mixed,2,silver,team,Mike Tredgett / Nora Perry,England
1980,1980-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Steen Fladberg / Pia Nielsen,Denmark
1980,1980-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Steen Skovgaard / Lene Køppen,Denmark
1980,1980-12-31,womens_doubles,Women's doubles,women,1,gold,team,Nora Perry / Jane Webster,England
1980,1980-12-31,womens_doubles,Women's doubles,women,2,silver,team,Verawaty Fadjrin / Imelda Wiguna,Indonesia
1980,1980-12-31,womens_doubles,Women's doubles,women,3,bronze,team,Atsuko Tokuda / Yoshiko Yonekura,Japan
1980,1980-12-31,womens_doubles,Women's doubles,women,3,bronze,team,Karen Bridge / Barbara Sutton,England
1980,1980-12-31,womens_singles,Women's singles,women,1,gold,athlete,Verawaty Fadjrin,Indonesia
1980,1980-12-31,womens_singles,Women's singles,women,2,silver,athlete,Ivana Lie,Indonesia
1980,1980-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Lene Køppen,Denmark
1980,1980-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Taty Sumirah,Indonesia
1983,1983-12-31,mens_doubles,Men's doubles,men,1,gold,team,Steen Fladberg / Jesper Helledie,Denmark
1983,1983-12-31,mens_doubles,Men's doubles,men,2,silver,team,Martin Dew / Mike Tredgett,England
1983,1983-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Bobby Ertanto / Christian Hadinata,Indonesia
1983,1983-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Lee Eun-ku / Park Joo-bong,South Korea
1983,1983-12-31,mens_singles,Men's singles,men,1,gold,athlete,Icuk Sugiarto,Indonesia
1983,1983-12-31,mens_singles,Men's singles,men,2,silver,athlete,Liem Swie King,Indonesia
1983,1983-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Han Jian,China
1983,1983-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Prakash Padukone,India
1983,1983-12-31,mixed_doubles,Mixed doubles,mixed,1,gold,team,Thomas Kihlström / Nora Perry,Sweden
1983,1983-12-31,mixed_doubles,Mixed doubles,mixed,2,silver,team,Steen Fladberg / Pia Nielsen,Denmark
1983,1983-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Jiang Guoliang / Lin Ying,China
1983,1983-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Mike Tredgett / Karen Chapman,England
1983,1983-12-31,womens_doubles,Women's doubles,women,1,gold,team,Lin Ying / Wu Dixi,China
1983,1983-12-31,womens_doubles,Women's doubles,women,2,silver,team,Nora Perry / Jane Webster,England
1983,1983-12-31,womens_doubles,Women's doubles,women,3,bronze,team,Gillian Clark / Gillian Gilks,England
1983,1983-12-31,womens_doubles,Women's doubles,women,3,bronze,team,Wu Jianqiu / Xu Rong,China
1983,1983-12-31,womens_singles,Women's singles,women,1,gold,athlete,Li Lingwei,China
1983,1983-12-31,womens_singles,Women's singles,women,2,silver,athlete,Han Aiping,China
1983,1983-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Helen Troke,England
1983,1983-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Zhang Ailing,China
1985,1985-12-31,mens_doubles,Men's doubles,men,1,gold,team,Kim Moon-soo / Park Joo-bong,South Korea
1985,1985-12-31,mens_doubles,Men's doubles,men,2,silver,team,Li Yongbo / Tian Bingyi,China
1985,1985-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Hariamanto Kartono / Liem Swie King,Indonesia
1985,1985-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Mark Christiansen / Michael Kjeldsen,Denmark
1985,1985-12-31,mens_singles,Men's singles,men,1,gold,athlete,Han Jian,China
1985,1985-12-31,mens_singles,Men's singles,men,2,silver,athlete,Morten Frost,Denmark
1985,1985-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Jens Peter Nierhoff,Denmark
1985,1985-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Yang Yang,China
1985,1985-12-31,mixed_doubles,Mixed doubles,mixed,1,gold,team,Park Joo-bong / Yoo Sang-hee,South Korea
1985,1985-12-31,mixed_doubles,Mixed doubles,mixed,2,silver,team,Stefan Karlsson / Maria Bengtsson,Sweden
1985,1985-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Nigel Tier / Gillian Gowers,England
1985,1985-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Zhang Xinguang / Lao Yujing,China
1985,1985-12-31,womens_doubles,Women's doubles,women,1,gold,team,Han Aiping / Li Lingwei,China
