year,rank,country_name,event_date
1977,1,Denmark,1977-12-31
1980,1,Indonesia,1980-12-31
1983,1,China,1983-12-31
1985,1,China,1985-12-31
1987,1,China,1987-12-31
1989,1,China,1989-12-31
1991,1,China,1991-12-31
1993,1,Indonesia,1993-12-31
1995,1,Indonesia,1995-12-31
1997,1,China,1997-12-31
1999,1,South Korea,1999-12-31
2001,1,China,2001-12-31
2003,1,China,2003-12-31
2005,1,China,2005-12-31
2006,1,China,2006-12-31
2007,1,China,2007-12-31
2009,1,China,2009-12-31
2010,1,China,2010-12-31
2011,1,China,2011-12-31
2013,1,China,2013-12-31
2014,1,China,2014-12-31
2015,1,China,2015-12-31
2017,1,China,2017-12-31
2018,1,China,2018-12-31
2019,1,Japan,2019-12-31
2021,1,Japan,2021-12-31
2022,1,China,2022-12-31
2023,1,South Korea,2023-12-31
2025,1,China,2025-12-31
