year,rank,country_name,event_date
1938,1,Great Britain,1938-12-31
1938,2,United States,1938-12-31
1939,1,Cuba,1939-12-31
1939,2,Nicaragua,1939-12-31
1939,3,United States,1939-12-31
1940,1,Cuba,1940-12-31
1940,2,Nicaragua,1940-12-31
1940,3,United States,1940-12-31
1940,4,Venezuela,1940-12-31
1941,1,Venezuela,1941-12-31
1941,2,Cuba,1941-12-31
1941,3,Mexico,1941-12-31
1941,4,Panama,1941-12-31
1942,1,Cuba,1942-12-31
1942,2,Dominican Republic,1942-12-31
1942,3,Venezuela,1942-12-31
1942,4,Mexico,1942-12-31
1943,1,Cuba,1943-12-31
1943,2,Mexico,1943-12-31
1943,3,Dominican Republic,1943-12-31
1943,4,Panama,1943-12-31
1944,1,Venezuela,1944-12-31
1944,2,Mexico,1944-12-31
1944,3,Cuba,1944-12-31
1944,4,Panama,1944-12-31
1945,1,Venezuela,1945-12-31
1945,2,Colombia,1945-12-31
1945,3,Panama,1945-12-31
1945,4,Nicaragua,1945-12-31
1947,1,Colombia,1947-12-31
1947,2,Puerto Rico,1947-12-31
1947,3,Nicaragua,1947-12-31
1947,4,Mexico,1947-12-31
1948,1,Dominican Republic,1948-12-31
1948,2,Puerto Rico,1948-12-31
1948,3,Colombia,1948-12-31
1948,4,Mexico,1948-12-31
1950,1,Cuba,1950-12-31
1950,2,Dominican Republic,1950-12-31
1950,3,Venezuela,1950-12-31
1950,4,Panama,1950-12-31
1951,1,Puerto Rico,1951-12-31
1951,2,Venezuela,1951-12-31
1951,3,Cuba,1951-12-31
1951,4,Dominican Republic,1951-12-31
1952,1,Cuba,1952-12-31
1952,2,Dominican Republic,1952-12-31
1952,3,Puerto Rico,1952-12-31
1952,4,Panama,1952-12-31
1953,1,Cuba,1953-12-31
1953,2,Venezuela,1953-12-31
1953,3,Nicaragua,1953-12-31
1953,4,Dominican Republic,1953-12-31
1961,1,Cuba,1961-12-31
1961,2,Mexico,1961-12-31
1961,3,Venezuela,1961-12-31
1961,4,Panama,1961-12-31
1965,1,Colombia,1965-12-31
1965,2,Mexico,1965-12-31
1965,3,Puerto Rico,1965-12-31
1965,4,Panama,1965-12-31
1969,1,Cuba,1969-12-31
1969,2,United States,1969-12-31
1969,3,Dominican Republic,1969-12-31
1969,4,Venezuela,1969-12-31
1970,1,Cuba,1970-12-31
1970,2,United States,1970-12-31
1970,3,Puerto Rico,1970-12-31
1970,4,Colombia,1970-12-31
1971,1,Cuba,1971-12-31
1971,2,Colombia,1971-12-31
1971,3,Nicaragua,1971-12-31
1971,4,Puerto Rico,1971-12-31
1972,1,Cuba,1972-12-31
1972,2,United States,1972-12-31
1972,3,Nicaragua,1972-12-31
1972,4,Japan,1972-12-31
1973,1,Cuba,1973-12-31
1973,1,United States,1973-12-31
1973,2,Nicaragua,1973-12-31
1973,2,Puerto Rico,1973-12-31
1973,3,Puerto Rico,1973-12-31
1973,3,Venezuela,1973-12-31
1973,4,Colombia,1973-12-31
1973,4,Dominican Republic,1973-12-31
1974,1,United States,1974-12-31
1974,2,Nicaragua,1974-12-31
1974,3,Colombia,1974-12-31
1974,4,Dominican Republic,1974-12-31
1976,1,Cuba,1976-12-31
1976,2,Puerto Rico,1976-12-31
1976,3,Japan,1976-12-31
1976,4,Nicaragua,1976-12-31
1978,1,Cuba,1978-12-31
1978,2,United States,1978-12-31
1978,3,South Korea,1978-12-31
1978,4,Japan,1978-12-31
1980,1,Cuba,1980-12-31
1980,2,South Korea,1980-12-31
1980,3,Japan,1980-12-31
1980,4,United States,1980-12-31
1982,1,South Korea,1982-12-31
1982,2,Japan,1982-12-31
1982,3,United States,1982-12-31
1982,4,Chinese Taipei,1982-12-31
1984,1,Cuba,1984-12-31
1984,2,Chinese Taipei,1984-12-31
1984,3,United States,1984-12-31
1984,4,Japan,1984-12-31
1986,1,Cuba,1986-12-31
1986,2,South Korea,1986-12-31
1986,3,Chinese Taipei,1986-12-31
1986,4,United States,1986-12-31
1988,1,Cuba,1988-12-31
1988,2,United States,1988-12-31
1988,3,Chinese Taipei,1988-12-31
1988,4,Japan,1988-12-31
1990,1,Cuba,1990-12-31
1990,2,Nicaragua,1990-12-31
1990,3,South Korea,1990-12-31
1990,4,Puerto Rico,1990-12-31
1994,1,Cuba,1994-12-31
1994,2,South Korea,1994-12-31
1994,3,Japan,1994-12-31
1994,4,Nicaragua,1994-12-31
1998,1,Cuba,1998-12-31
1998,2,South Korea,1998-12-31
1998,3,Nicaragua,1998-12-31
1998,4,Italy,1998-12-31
2001,1,Cuba,2001-12-31
2001,2,United States,2001-12-31
2001,3,Chinese Taipei,2001-12-31
2001,4,Japan,2001-12-31
2003,1,Cuba,2003-12-31
2003,2,Panama,2003-12-31
2003,3,Japan,2003-12-31
2003,4,Chinese Taipei,2003-12-31
2005,1,Cuba,2005-12-31
2005,2,South Korea,2005-12-31
2005,3,Panama,2005-12-31
2005,4,Netherlands,2005-12-31
2007,1,United States,2007-12-31
2007,2,Cuba,2007-12-31
2007,3,Japan,2007-12-31
2007,4,Netherlands,2007-12-31
2009,1,United States,2009-12-31
2009,2,Cuba,2009-12-31
2009,3,Canada,2009-12-31
2009,4,Puerto Rico,2009-12-31
2011,1,Netherlands,2011-12-31
2011,2,Cuba,2011-12-31
2011,3,Canada,2011-12-31
2011,4,United States,2011-12-31
