year,rank,country_name,event_date
1966,1,United States,1966-12-31
1966,2,Mexico,1966-12-31
1966,3,New Zealand,1966-12-31
1966,4,Puerto Rico,1966-12-31
1968,1,United States,1968-12-31
1968,2,Canada,1968-12-31
1968,3,Mexico,1968-12-31
1968,4,Philippines,1968-12-31
1972,1,Canada,1972-12-31
1972,2,United States,1972-12-31
1972,3,New Zealand,1972-12-31
1972,4,Mexico,1972-12-31
1976,1,Canada,1976-12-31
1976,1,New Zealand,1976-12-31
1976,1,United States,1976-12-31
1976,4,Japan,1976-12-31
1980,1,United States,1980-12-31
1980,2,Canada,1980-12-31
1980,3,Bahamas,1980-12-31
1980,4,New Zealand,1980-12-31
1984,1,New Zealand,1984-12-31
1984,2,Canada,1984-12-31
1984,3,United States,1984-12-31
1984,4,Chinese Taipei,1984-12-31
1988,1,United States,1988-12-31
1988,2,New Zealand,1988-12-31
1988,3,Canada,1988-12-31
1988,4,Cuba,1988-12-31
1992,1,Canada,1992-12-31
1992,2,New Zealand,1992-12-31
1992,3,United States,1992-12-31
1992,4,Japan,1992-12-31
1996,1,New Zealand,1996-12-31
1996,2,Canada,1996-12-31
1996,3,Japan,1996-12-31
1996,4,United States,1996-12-31
2000,1,New Zealand,2000-12-31
2000,2,Japan,2000-12-31
2000,3,United States,2000-12-31
2000,4,Canada,2000-12-31
2004,1,New Zealand,2004-12-31
2004,2,Canada,2004-12-31
2004,3,Australia,2004-12-31
2004,4,United States,2004-12-31
2009,1,Australia,2009-12-31
2009,2,New Zealand,2009-12-31
2009,3,Canada,2009-12-31
2009,4,United States,2009-12-31
2013,1,New Zealand,2013-12-31
2013,2,Venezuela,2013-12-31
2013,3,Australia,2013-12-31
2013,4,Argentina,2013-12-31
2015,1,Canada,2015-12-31
2015,2,New Zealand,2015-12-31
2015,3,Venezuela,2015-12-31
2015,4,Australia,2015-12-31
2017,1,New Zealand,2017-12-31
2017,2,Australia,2017-12-31
2017,3,Canada,2017-12-31
2017,4,Argentina,2017-12-31
2019,1,Argentina,2019-12-31
2019,2,Japan,2019-12-31
2019,3,Canada,2019-12-31
2019,4,New Zealand,2019-12-31
2022,1,Australia,2022-12-31
2022,2,Canada,2022-12-31
2022,3,United States,2022-12-31
2022,4,Argentina,2022-12-31
2025,1,Venezuela,2025-12-31
2025,2,New Zealand,2025-12-31
2025,3,United States,2025-12-31
2025,4,Japan,2025-12-31
