year,rank,country_name,event_date
2004,1,United States,2004-12-31
2004,2,Japan,2004-12-31
2004,3,Canada,2004-12-31
2004,4,Australia,2004-12-31
2006,1,United States,2006-12-31
2006,2,Japan,2006-12-31
2006,3,Canada,2006-12-31
2006,4,Australia,2006-12-31
2008,1,Japan,2008-12-31
2008,2,Canada,2008-12-31
2008,3,United States,2008-12-31
2008,4,Australia,2008-12-31
2010,1,Japan,2010-12-31
2010,2,Australia,2010-12-31
2010,3,United States,2010-12-31
2010,4,Venezuela,2010-12-31
2012,1,Japan,2012-12-31
2012,2,United States,2012-12-31
2012,3,Canada,2012-12-31
2012,4,Australia,2012-12-31
2014,1,Japan,2014-12-31
2014,2,United States,2014-12-31
2014,3,Australia,2014-12-31
2014,4,Canada,2014-12-31
2016,1,Japan,2016-12-31
2016,2,Canada,2016-12-31
2016,3,Venezuela,2016-12-31
2016,4,Chinese Taipei,2016-12-31
2018,1,Japan,2018-12-31
2018,2,Chinese Taipei,2018-12-31
2018,3,Canada,2018-12-31
2018,4,United States,2018-12-31
2024,1,Japan,2024-12-31
2024,2,United States,2024-12-31
2024,3,Canada,2024-12-31
2024,4,Mexico,2024-12-31
