year,rank,country_name,event_date
1965,1,Australia,1965-12-31
1965,2,United States,1965-12-31
1965,3,Japan,1965-12-31
1965,4,New Zealand,1965-12-31
1970,1,Japan,1970-12-31
1970,2,United States,1970-12-31
1970,3,Philippines,1970-12-31
1970,4,Australia,1970-12-31
1974,1,United States,1974-12-31
1974,2,Japan,1974-12-31
1974,3,Australia,1974-12-31
1974,4,Philippines,1974-12-31
1978,1,United States,1978-12-31
1978,2,Canada,1978-12-31
1978,3,New Zealand,1978-12-31
1978,4,Chinese Taipei,1978-12-31
1982,1,New Zealand,1982-12-31
1982,2,Chinese Taipei,1982-12-31
1982,3,Australia,1982-12-31
1982,4,United States,1982-12-31
1986,1,United States,1986-12-31
1986,2,China,1986-12-31
1986,3,New Zealand,1986-12-31
1986,4,Canada,1986-12-31
1990,1,United States,1990-12-31
1990,2,New Zealand,1990-12-31
1990,3,China,1990-12-31
1990,4,Australia,1990-12-31
1994,1,United States,1994-12-31
1994,2,China,1994-12-31
1994,3,Australia,1994-12-31
1994,4,Canada,1994-12-31
1998,1,United States,1998-12-31
1998,2,Australia,1998-12-31
1998,3,Japan,1998-12-31
1998,4,China,1998-12-31
2002,1,United States,2002-12-31
2002,2,Japan,2002-12-31
2002,3,Chinese Taipei,2002-12-31
2002,4,China,2002-12-31
2006,1,United States,2006-12-31
2006,2,Japan,2006-12-31
2006,3,Australia,2006-12-31
2006,4,China,2006-12-31
2010,1,United States,2010-12-31
2010,2,Japan,2010-12-31
2010,3,Canada,2010-12-31
2010,4,China,2010-12-31
2012,1,Japan,2012-12-31
2012,2,United States,2012-12-31
2012,3,Australia,2012-12-31
2012,4,Canada,2012-12-31
2014,1,Japan,2014-12-31
2014,2,United States,2014-12-31
2014,3,Australia,2014-12-31
2014,4,Canada,2014-12-31
2016,1,United States,2016-12-31
2016,2,Japan,2016-12-31
2016,3,Canada,2016-12-31
2016,4,Netherlands,2016-12-31
2018,1,United States,2018-12-31
2018,2,Japan,2018-12-31
2018,3,Canada,2018-12-31
2018,4,Australia,2018-12-31
2022,1,United States,2022-12-31
2022,2,Japan,2022-12-31
2022,3,Chinese Taipei,2022-12-31
2022,4,Australia,2022-12-31
2024,1,Japan,2024-12-31
2024,2,United States,2024-12-31
2024,3,Canada,2024-12-31
2024,4,Netherlands,2024-12-31
