year,rank,country_name,event_date
1998,1,South Africa,1998-12-31
1998,2,West Indies,1998-12-31
2000,1,New Zealand,2000-12-31
2000,2,India,2000-12-31
2002,1,India,2002-12-31
2002,1,Sri Lanka,2002-12-31
2004,1,West Indies,2004-12-31
2004,2,England,2004-12-31
2006,1,Australia,2006-12-31
2006,2,West Indies,2006-12-31
2009,1,Australia,2009-12-31
2009,2,New Zealand,2009-12-31
2013,1,India,2013-12-31
2013,2,England,2013-12-31
2017,1,Pakistan,2017-12-31
2017,2,India,2017-12-31
2025,1,India,2025-12-31
2025,2,New Zealand,2025-12-31
