year,rank,country_name,event_date
2007,1,India,2007-12-31
2007,2,Pakistan,2007-12-31
2009,1,Pakistan,2009-12-31
2009,2,Sri Lanka,2009-12-31
2010,1,England,2010-12-31
2010,2,Australia,2010-12-31
2012,1,West Indies,2012-12-31
2012,2,Sri Lanka,2012-12-31
2014,1,Sri Lanka,2014-12-31
2014,2,India,2014-12-31
2016,1,West Indies,2016-12-31
2016,2,England,2016-12-31
2021,1,Australia,2021-12-31
2021,2,New Zealand,2021-12-31
2022,1,England,2022-12-31
2022,2,Pakistan,2022-12-31
2024,1,India,2024-12-31
2024,2,South Africa,2024-12-31
2026,1,India,2026-12-31
2026,2,New Zealand,2026-12-31
