ranking_code,comp_type,effective_date,last_updated,rank_type,country_name,country_code_source,source_rank,matches,points,rating
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,India,IND,1.0,80,21852,273
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,England,ENG,2.0,52,13433,258
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Australia,AUS,3.0,49,12645,258
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,New Zealand,NZ,4.0,62,15515,250
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,South Africa,SA,5.0,60,14568,243
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Pakistan,PAK,6.0,82,19516,238
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,West Indies,WI,7.0,71,16756,236
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Sri Lanka,SL,8.0,57,12997,228
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Bangladesh,BAN,9.0,67,14925,223
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Afghanistan,AFG,10.0,52,11504,221
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Zimbabwe,ZIM,11.0,69,13969,202
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Ireland,IRE,12.0,45,9001,200
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Netherlands,NED,13.0,39,7064,181
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Scotland,SCO,14.0,27,4836,179
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Namibia,NAM,15.0,39,6940,178
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,USA,USA,16.0,37,6562,177
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,United Arab Emirates,UAE,17.0,66,11584,176
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Nepal,NEP,18.0,46,8031,175
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Canada,CAN,19.0,39,5928,152
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Oman,OMN,20.0,51,7707,151
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Uganda,UGN,21.0,56,7952,142
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Papua New Guinea,PNG,22.0,20,2718,136
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Kuwait,KUW,23.0,42,5441,130
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Hong Kong,HK,24.0,52,6602,127
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Malaysia,MAS,25.0,59,7386,125
