year,rank,country_name,event_date
2009,1,England,2009-12-31
2009,2,New Zealand,2009-12-31
2009,3,India,2009-12-31
2009,4,Australia,2009-12-31
2010,1,Australia,2010-12-31
2010,2,New Zealand,2010-12-31
2010,3,India,2010-12-31
2010,4,West Indies,2010-12-31
2012,1,Australia,2012-12-31
2012,2,England,2012-12-31
2012,3,New Zealand,2012-12-31
2012,4,West Indies,2012-12-31
2014,1,Australia,2014-12-31
2014,2,England,2014-12-31
2014,3,West Indies,2014-12-31
2014,4,South Africa,2014-12-31
2016,1,West Indies,2016-12-31
2016,2,Australia,2016-12-31
2016,3,England,2016-12-31
2016,4,New Zealand,2016-12-31
2018,1,Australia,2018-12-31
2018,2,England,2018-12-31
2018,3,West Indies,2018-12-31
2018,4,India,2018-12-31
2020,1,Australia,2020-12-31
2020,2,India,2020-12-31
2020,3,England,2020-12-31
2020,4,South Africa,2020-12-31
2023,1,Australia,2023-12-31
2023,2,South Africa,2023-12-31
2023,3,India,2023-12-31
2023,4,England,2023-12-31
2024,1,New Zealand,2024-12-31
2024,2,South Africa,2024-12-31
2024,3,Australia,2024-12-31
2024,4,West Indies,2024-12-31
