competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_mens_curling_championship,World Men's Curling Championship,2001,2001-12-31,curling,Curling,men,Men,men,1,gold,team,Sweden,Sweden,SWE,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2001,2001-12-31,curling,Curling,men,Men,men,2,silver,team,Switzerland,Switzerland,SUI,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2001,2001-12-31,curling,Curling,men,Men,men,3,bronze,team,Norway,Norway,NOR,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2002,2002-12-31,curling,Curling,men,Men,men,1,gold,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2002,2002-12-31,curling,Curling,men,Men,men,2,silver,team,Norway,Norway,NOR,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2002,2002-12-31,curling,Curling,men,Men,men,3,bronze,team,Scotland,Scotland,SCO,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2003,2003-12-31,curling,Curling,men,Men,men,1,gold,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2003,2003-12-31,curling,Curling,men,Men,men,2,silver,team,Switzerland,Switzerland,SUI,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2003,2003-12-31,curling,Curling,men,Men,men,3,bronze,team,Norway,Norway,NOR,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2004,2004-12-31,curling,Curling,men,Men,men,1,gold,team,Sweden,Sweden,SWE,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2004,2004-12-31,curling,Curling,men,Men,men,2,silver,team,Germany,Germany,GER,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2004,2004-12-31,curling,Curling,men,Men,men,3,bronze,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2005,2005-12-31,curling,Curling,men,Men,men,1,gold,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2005,2005-12-31,curling,Curling,men,Men,men,2,silver,team,Scotland,Scotland,SCO,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2005,2005-12-31,curling,Curling,men,Men,men,3,bronze,team,Germany,Germany,GER,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2006,2006-12-31,curling,Curling,men,Men,men,1,gold,team,Scotland,Scotland,SCO,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2006,2006-12-31,curling,Curling,men,Men,men,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2006,2006-12-31,curling,Curling,men,Men,men,3,bronze,team,Norway,Norway,NOR,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2007,2007-12-31,curling,Curling,men,Men,men,1,gold,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2007,2007-12-31,curling,Curling,men,Men,men,2,silver,team,Germany,Germany,GER,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2007,2007-12-31,curling,Curling,men,Men,men,3,bronze,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2008,2008-12-31,curling,Curling,men,Men,men,1,gold,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2008,2008-12-31,curling,Curling,men,Men,men,2,silver,team,Scotland,Scotland,SCO,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2008,2008-12-31,curling,Curling,men,Men,men,3,bronze,team,Norway,Norway,NOR,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2009,2009-12-31,curling,Curling,men,Men,men,1,gold,team,Scotland,Scotland,SCO,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2009,2009-12-31,curling,Curling,men,Men,men,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2009,2009-12-31,curling,Curling,men,Men,men,3,bronze,team,Norway,Norway,NOR,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2010,2010-12-31,curling,Curling,men,Men,men,1,gold,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2010,2010-12-31,curling,Curling,men,Men,men,2,silver,team,Norway,Norway,NOR,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2010,2010-12-31,curling,Curling,men,Men,men,3,bronze,team,Scotland,Scotland,SCO,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2011,2011-12-31,curling,Curling,men,Men,men,1,gold,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Curling_Championships
world_mens_curling_championship,World Men's Curling Championship,2011,2011-12-31,curling,Curling,men,Men,men,2,silver,team,Scotland,Scotland,SCO,https://en.wikipedia.org/wiki/World_Curling_Championships
