competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_key,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,1,gold,athlete,Nicolas Vouilloz,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,2,silver,athlete,Steve Peat,Great Britain,GBR,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,3,bronze,athlete,Greg Minnaar,South Africa,ZAF,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,1,gold,athlete,Anne-Caroline Chausson,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,2,silver,athlete,Fionn Griffiths,Great Britain,GBR,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,3,bronze,athlete,Leigh Donovan,United States,USA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,1,gold,athlete,Roland Green,Canada,CAN,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,2,silver,athlete,Thomas Frischknecht,Switzerland,CHE,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,3,bronze,athlete,Christoph Sauser,Switzerland,CHE,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,1,gold,athlete,Alison Dunlap,United States,USA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,2,silver,athlete,Alison Sydor,Canada,CAN,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2001,2001-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,3,bronze,athlete,Sabine Spitz,Germany,DEU,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,1,gold,athlete,Nicolas Vouilloz,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,2,silver,athlete,Steve Peat,Great Britain,GBR,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,3,bronze,athlete,Chris Kovarik,Australia,AUS,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,1,gold,athlete,Anne-Caroline Chausson,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,2,silver,athlete,Fionn Griffiths,Great Britain,GBR,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,3,bronze,athlete,Missy Giove,United States,USA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,1,gold,athlete,Roland Green,Canada,CAN,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,2,silver,athlete,Filip Meirhaeghe,Belgium,BEL,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,3,bronze,athlete,Thomas Frischknecht,Switzerland,CHE,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,1,gold,athlete,Gunn-Rita Dahle Flesjå,Norway,NOR,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,2,silver,athlete,Anna Szafraniec,Poland,POL,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2002,2002-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,3,bronze,athlete,Sabine Spitz,Germany,DEU,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,1,gold,athlete,Greg Minnaar,South Africa,ZAF,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,2,silver,athlete,Mickaël Pascal,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,3,bronze,athlete,Fabien Barel,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,1,gold,athlete,Anne-Caroline Chausson,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,2,silver,athlete,Sabrina Jonnier,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,3,bronze,athlete,Nolvenn Le Caer,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,1,gold,athlete,Filip Meirhaeghe,Belgium,BEL,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,2,silver,athlete,Ryder Hesjedal,Canada,CAN,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,3,bronze,athlete,Roel Paulissen,Belgium,BEL,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,1,gold,athlete,Sabine Spitz,Germany,DEU,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,2,silver,athlete,Alison Sydor,Canada,CAN,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2003,2003-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,3,bronze,athlete,Irina Kalentieva,Russia,RUS,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,1,gold,athlete,Fabien Barel,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,2,silver,athlete,Greg Minnaar,South Africa,ZAF,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,3,bronze,athlete,Sam Hill,Australia,AUS,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,1,gold,athlete,Vanessa Quin,New Zealand,NZL,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,2,silver,athlete,Mio Suemasa,Japan,JPN,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,3,bronze,athlete,Celine Gros,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,1,gold,athlete,Julien Absalon,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,2,silver,athlete,Cédric Ravanel,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,3,bronze,athlete,Thomas Frischknecht,Switzerland,CHE,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,1,gold,athlete,Gunn-Rita Dahle Flesjå,Norway,NOR,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,2,silver,athlete,Maja Włoszczowska,Poland,POL,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2004,2004-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Women Elite Cross-country,women,3,bronze,athlete,Alison Sydor,Canada,CAN,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2005,2005-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,1,gold,athlete,Fabien Barel,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2005,2005-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,2,silver,athlete,Sam Hill,Australia,AUS,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2005,2005-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Men Elite Downhill,men,3,bronze,athlete,Greg Minnaar,South Africa,ZAF,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2005,2005-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,1,gold,athlete,Anne-Caroline Chausson,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2005,2005-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,2,silver,athlete,Sabrina Jonnier,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2005,2005-09-01,cycling-mountain-bike-downhill,Mountain Bike Downhill,downhill,Women Elite Downhill,women,3,bronze,athlete,Emmeline Ragot,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2005,2005-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,1,gold,athlete,Julien Absalon,France,FRA,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2005,2005-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,2,silver,athlete,Christoph Sauser,Switzerland,CHE,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
uci_mountain_bike_world_championships,UCI Mountain Bike World Championships,2005,2005-09-01,cycling-mountain-bike-cross-country,Mountain Bike Cross-country,xco,Men Elite Cross-country,men,3,bronze,athlete,José Antonio Hermida,Spain,ESP,https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country
