competition_key,competition_id,competition_name,year,event_date,discipline_key,discipline_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
giro_d_italia_men,giro_d_italia,Giro d'Italia,1909,1909-12-31,road-race,Road Race,men,1,gold,athlete,Luigi Ganna,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1909,1909-12-31,road-race,Road Race,men,2,silver,athlete,Carlo Galetti,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1909,1909-12-31,road-race,Road Race,men,3,bronze,athlete,Giovanni Rossignoli,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1910,1910-12-31,road-race,Road Race,men,1,gold,athlete,Carlo Galetti,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1910,1910-12-31,road-race,Road Race,men,2,silver,athlete,Eberardo Pavesi,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1910,1910-12-31,road-race,Road Race,men,3,bronze,athlete,Luigi Ganna,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1911,1911-12-31,road-race,Road Race,men,1,gold,athlete,Carlo Galetti,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1911,1911-12-31,road-race,Road Race,men,2,silver,athlete,Giovanni Rossignoli,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1911,1911-12-31,road-race,Road Race,men,3,bronze,athlete,Giovanni Gerbi,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1912,1912-12-31,road-race,Road Race,men,1,gold,athlete,Équipe cycliste Atala,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1912,1912-12-31,road-race,Road Race,men,2,silver,athlete,Équipe cycliste Peugeot,France,FRA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1912,1912-12-31,road-race,Road Race,men,3,bronze,athlete,Équipe cycliste Gerbi,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1913,1913-12-31,road-race,Road Race,men,1,gold,athlete,Carlo Oriani,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1913,1913-12-31,road-race,Road Race,men,2,silver,athlete,Eberardo Pavesi,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1913,1913-12-31,road-race,Road Race,men,3,bronze,athlete,Giuseppe Azzini,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1914,1914-12-31,road-race,Road Race,men,1,gold,athlete,Alfonso Calzolari,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1914,1914-12-31,road-race,Road Race,men,2,silver,athlete,Pierino Albini,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1914,1914-12-31,road-race,Road Race,men,3,bronze,athlete,Luigi Lucotti,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1919,1919-12-31,road-race,Road Race,men,1,gold,athlete,Costante Girardengo,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1919,1919-12-31,road-race,Road Race,men,2,silver,athlete,Gaetano Belloni,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1919,1919-12-31,road-race,Road Race,men,3,bronze,athlete,Marcel Buysse,Belgique,BEL,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1920,1920-12-31,road-race,Road Race,men,1,gold,athlete,Gaetano Belloni,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
giro_d_italia_men,giro_d_italia,Giro d'Italia,1920,1920-12-31,road-race,Road Race,men,2,silver,athlete,Angelo Gremo,Italie,ITA,https://fr.wikipedia.org/wiki/Tour_d%27Italie
