requested_year,discipline_season_id,ranking_id,group_id,group_name,ranking_name,moment_id,effective_date,country_name,country_code,source_rank,points,source_url
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,SPAIN,ESP,1,16805.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,BELGIUM,BEL,2,12536.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,ITALY,ITA,3,12168.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,FRANCE,FRA,4,10237.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,NETHERLANDS,NED,5,9619.8,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,GREAT BRITAIN,GBR,6,8877.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,COLOMBIA,COL,7,8434.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,AUSTRALIA,AUS,8,7417.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,NORWAY,NOR,9,6725.25,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2015,7,9,1,World Ranking,UCI World Ranking,2627,2015-12-30,GERMANY,GER,10,5653.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=2627&disciplineSeasonId=7&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,FRANCE,FRA,1,13007.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,BELGIUM,BEL,2,12483.25,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,ITALY,ITA,3,11922.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,COLOMBIA,COL,4,11875.5,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,SPAIN,ESP,5,11330.25,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,GREAT BRITAIN,GBR,6,10309.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,NETHERLANDS,NED,7,8455.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,AUSTRALIA,AUS,8,7719.25,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,SLOVAKIA,SVK,9,5990.5,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2016,15,9,1,World Ranking,UCI World Ranking,4726,2016-10-22,NORWAY,NOR,10,5779.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=4726&disciplineSeasonId=15&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,BELGIUM,BEL,1,14600.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,ITALY,ITA,2,13938.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,FRANCE,FRA,3,12123.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,SPAIN,ESP,4,10537.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,NETHERLANDS,NED,5,10309.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,COLOMBIA,COL,6,9897.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,AUSTRALIA,AUS,7,8781.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,GREAT BRITAIN,GBR,8,8592.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,GERMANY,GER,9,6453.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2017,19,9,1,World Ranking,UCI World Ranking,24388,2017-10-24,NORWAY,NOR,10,6130.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=24388&disciplineSeasonId=19&rankingTypeId=3&categoryId=22&raceTypeId=0
2018,89,9,1,World Ranking,UCI World Ranking,32152,2018-10-21,BELGIUM,BEL,1,14502.02,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=32152&disciplineSeasonId=89&rankingTypeId=3&categoryId=22&raceTypeId=0
2018,89,9,1,World Ranking,UCI World Ranking,32152,2018-10-21,FRANCE,FRA,2,13628.12,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=32152&disciplineSeasonId=89&rankingTypeId=3&categoryId=22&raceTypeId=0
2018,89,9,1,World Ranking,UCI World Ranking,32152,2018-10-21,ITALY,ITA,3,12142.76,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=32152&disciplineSeasonId=89&rankingTypeId=3&categoryId=22&raceTypeId=0
2018,89,9,1,World Ranking,UCI World Ranking,32152,2018-10-21,SPAIN,ESP,4,11942.06,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=32152&disciplineSeasonId=89&rankingTypeId=3&categoryId=22&raceTypeId=0
