competition_id,competition_name,year,event_date,discipline_key,discipline_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-individual-pursuit,Track Individual Pursuit,men,1,gold,athlete,Jens Lehmann,Germany,DEU,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-individual-pursuit,Track Individual Pursuit,men,2,silver,athlete,Stefan Steinweg,Germany,DEU,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-individual-pursuit,Track Individual Pursuit,men,3,bronze,athlete,Rob Hayles,United Kingdom,GBR,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-keirin,Track Keirin,men,1,gold,athlete,Frédéric Magné,France,FRA,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-keirin,Track Keirin,men,2,silver,athlete,Jens Fiedler,Germany,DEU,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-keirin,Track Keirin,men,3,bronze,athlete,Pavel Buráň,Czechia,CZE,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-madison,Track Madison,men,1,gold,team,Germany,Germany,DEU,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-madison,Track Madison,men,2,silver,team,Spain,Spain,ESP,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-madison,Track Madison,men,3,bronze,team,Argentina,Argentina,ARG,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
uci_track_world_championships,UCI Track Cycling World Championships,2000,2000-12-31,track-points-race,Track Points Race,men,1,gold,athlete,Joan Llaneras,Spain,ESP,https://en.wikipedia.org/wiki/2000_UCI_Track_Cycling_World_Championships
