competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_name,gender,event_format,rank,medal,participant_type,participant_name,country_name,country_code,team_members,source_url
fie_world_championships,FIE World Championships,2001,2001-12-31,epee,Epee,Men Individual Epee,men,individual,1,gold,athlete,Paolo Milanoli,Italy,ITA,,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
fie_world_championships,FIE World Championships,2001,2001-12-31,epee,Epee,Men Individual Epee,men,individual,2,silver,athlete,Basil Hoffmann,Switzerland,CHE,,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
fie_world_championships,FIE World Championships,2001,2001-12-31,epee,Epee,Men Individual Epee,men,individual,3,bronze,athlete,Oliver Lücke,Germany,DEU,,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
fie_world_championships,FIE World Championships,2001,2001-12-31,epee,Epee,Men Individual Epee,men,individual,3,bronze,athlete,Fabrice Jeannet,France,FRA,,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
fie_world_championships,FIE World Championships,2001,2001-12-31,epee,Epee,Men Team Epee,men,team,1,gold,team,Hungary,Hungary,HUN,Krisztián Kulcsár; Iván Kovács; Géza Imre; Attila Fekete,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
fie_world_championships,FIE World Championships,2001,2001-12-31,epee,Epee,Men Team Epee,men,team,2,silver,team,Estonia,Estonia,EST,Kaido Kaaberma; Nikolai Novosjolov; Sergei Vaht; Meelis Loit,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
fie_world_championships,FIE World Championships,2001,2001-12-31,epee,Epee,Men Team Epee,men,team,3,bronze,team,France,France,FRA,Fabrice Jeannet; Hugues Obry; Rémy Delhomme; Jérôme Jeannet,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
fie_world_championships,FIE World Championships,2001,2001-12-31,foil,Foil,Men Individual Foil,men,individual,1,gold,athlete,Salvatore Sanzo,Italy,ITA,,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
fie_world_championships,FIE World Championships,2001,2001-12-31,foil,Foil,Men Individual Foil,men,individual,2,silver,athlete,Loïc Attely,France,FRA,,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
fie_world_championships,FIE World Championships,2001,2001-12-31,foil,Foil,Men Individual Foil,men,individual,3,bronze,athlete,Brice Guyart,France,FRA,,https://en.wikipedia.org/wiki/2001_World_Fencing_Championships
