year,rank,country_name,event_date
1953,1,United States,1953-12-31
1953,2,Chile,1953-12-31
1953,3,France,1953-12-31
1953,4,Brazil,1953-12-31
1957,1,United States,1957-12-31
1957,2,Soviet Union,1957-12-31
1957,3,Czechoslovakia,1957-12-31
1957,4,France,1957-12-31
1959,1,Soviet Union,1959-12-31
1959,2,Bulgaria,1959-12-31
1959,3,Czechoslovakia,1959-12-31
1959,4,United States,1959-12-31
1964,1,Soviet Union,1964-12-31
1964,2,Czechoslovakia,1964-12-31
1964,3,Bulgaria,1964-12-31
1964,4,United States,1964-12-31
1967,1,Soviet Union,1967-12-31
1967,2,Czechoslovakia,1967-12-31
1967,3,South Korea,1967-12-31
1967,4,United States,1967-12-31
1971,1,Brazil,1971-12-31
1971,2,Czechoslovakia,1971-12-31
1971,3,Soviet Union,1971-12-31
1971,4,France,1971-12-31
1975,1,Soviet Union,1975-12-31
1975,2,Japan,1975-12-31
1975,3,Czechoslovakia,1975-12-31
1975,4,United States,1975-12-31
1979,1,United States,1979-12-31
1979,2,South Korea,1979-12-31
1979,3,Canada,1979-12-31
1979,4,Australia,1979-12-31
1983,1,Soviet Union,1983-12-31
1983,2,United States,1983-12-31
1983,3,China,1983-12-31
1983,4,South Korea,1983-12-31
1986,1,United States,1986-12-31
1986,2,Soviet Union,1986-12-31
1986,3,Canada,1986-12-31
1986,4,China,1986-12-31
1990,1,United States,1990-12-31
1990,2,Yugoslavia,1990-12-31
1990,3,Cuba,1990-12-31
1990,4,Czechoslovakia,1990-12-31
1994,1,Brazil,1994-12-31
1994,2,China,1994-12-31
1994,3,United States,1994-12-31
1994,4,Australia,1994-12-31
1998,1,United States,1998-12-31
1998,2,Russia,1998-12-31
1998,3,Australia,1998-12-31
1998,4,Brazil,1998-12-31
2002,1,United States,2002-12-31
2002,2,Russia,2002-12-31
2002,3,Australia,2002-12-31
2002,4,South Korea,2002-12-31
2006,1,Australia,2006-12-31
2006,2,Russia,2006-12-31
2006,3,United States,2006-12-31
2006,4,Brazil,2006-12-31
2010,1,United States,2010-12-31
2010,2,Czech Republic,2010-12-31
2010,3,Spain,2010-12-31
2010,4,Belarus,2010-12-31
2014,1,United States,2014-12-31
2014,2,Spain,2014-12-31
2014,3,Australia,2014-12-31
2014,4,Turkey,2014-12-31
2018,1,United States,2018-12-31
2018,2,Australia,2018-12-31
2018,3,Spain,2018-12-31
2018,4,Belgium,2018-12-31
2022,1,United States,2022-12-31
2022,2,China,2022-12-31
2022,3,Australia,2022-12-31
2022,4,Canada,2022-12-31
