year,rank,country_name,event_date
1950,1,Argentina,1950-12-31
1950,2,United States,1950-12-31
1950,3,Chile,1950-12-31
1950,4,Egypt,1950-12-31
1954,1,United States,1954-12-31
1954,2,Brazil,1954-12-31
1954,3,Philippines,1954-12-31
1954,4,Uruguay,1954-12-31
1959,1,Brazil,1959-12-31
1959,2,United States,1959-12-31
1959,3,Chile,1959-12-31
1959,4,Soviet Union,1959-12-31
1963,1,Brazil,1963-12-31
1963,2,Yugoslavia,1963-12-31
1963,3,Soviet Union,1963-12-31
1963,4,United States,1963-12-31
1967,1,Soviet Union,1967-12-31
1967,2,Yugoslavia,1967-12-31
1967,3,Brazil,1967-12-31
1967,4,United States,1967-12-31
1970,1,Yugoslavia,1970-12-31
1970,2,Brazil,1970-12-31
1970,3,Soviet Union,1970-12-31
1970,4,Italy,1970-12-31
1974,1,Soviet Union,1974-12-31
1974,2,Yugoslavia,1974-12-31
1974,3,United States,1974-12-31
1974,4,Puerto Rico,1974-12-31
1978,1,Yugoslavia,1978-12-31
1978,2,Soviet Union,1978-12-31
1978,3,Brazil,1978-12-31
1978,4,Italy,1978-12-31
1982,1,Soviet Union,1982-12-31
1982,2,United States,1982-12-31
1982,3,Yugoslavia,1982-12-31
1982,4,Spain,1982-12-31
1986,1,United States,1986-12-31
1986,2,Soviet Union,1986-12-31
1986,3,Yugoslavia,1986-12-31
1986,4,Brazil,1986-12-31
1990,1,Yugoslavia,1990-12-31
1990,2,Soviet Union,1990-12-31
1990,3,United States,1990-12-31
1990,4,Brazil,1990-12-31
1994,1,United States,1994-12-31
1994,2,Russia,1994-12-31
1994,3,Croatia,1994-12-31
1994,4,Greece,1994-12-31
1998,1,Yugoslavia,1998-12-31
1998,2,Russia,1998-12-31
1998,3,United States,1998-12-31
1998,4,Greece,1998-12-31
2002,1,Yugoslavia,2002-12-31
2002,2,Argentina,2002-12-31
2002,3,Germany,2002-12-31
2002,4,New Zealand,2002-12-31
2006,1,Spain,2006-12-31
2006,2,Greece,2006-12-31
2006,3,United States,2006-12-31
2006,4,Argentina,2006-12-31
2010,1,United States,2010-12-31
2010,2,Turkey,2010-12-31
2010,3,Lithuania,2010-12-31
2010,4,Serbia,2010-12-31
2014,1,United States,2014-12-31
2014,2,Serbia,2014-12-31
2014,3,France,2014-12-31
2014,4,Lithuania,2014-12-31
2019,1,Spain,2019-12-31
2019,2,Argentina,2019-12-31
2019,3,France,2019-12-31
2019,4,Australia,2019-12-31
2023,1,Germany,2023-12-31
2023,2,Serbia,2023-12-31
2023,3,Canada,2023-12-31
2023,4,United States,2023-12-31
