year,rank,country_name,event_date
1973,1,England,1973-12-31
1973,2,Australia,1973-12-31
1978,1,Australia,1978-12-31
1978,2,England,1978-12-31
1982,1,Australia,1982-12-31
1982,2,England,1982-12-31
1988,1,Australia,1988-12-31
1988,2,England,1988-12-31
1993,1,England,1993-12-31
1993,2,New Zealand,1993-12-31
1997,1,Australia,1997-12-31
1997,2,New Zealand,1997-12-31
2000,1,New Zealand,2000-12-31
2000,2,Australia,2000-12-31
2005,1,Australia,2005-12-31
2005,2,India,2005-12-31
2009,1,England,2009-12-31
2009,2,New Zealand,2009-12-31
2013,1,Australia,2013-12-31
2013,2,West Indies,2013-12-31
2017,1,England,2017-12-31
2017,2,India,2017-12-31
2022,1,Australia,2022-12-31
2022,2,England,2022-12-31
