year,rank,country_name,event_date
1975,1,West Indies,1975-12-31
1975,2,Australia,1975-12-31
1975,3,England,1975-12-31
1975,4,New Zealand,1975-12-31
1979,1,West Indies,1979-12-31
1979,2,England,1979-12-31
1979,3,New Zealand,1979-12-31
1979,4,Pakistan,1979-12-31
1983,1,India,1983-12-31
1983,2,West Indies,1983-12-31
1983,3,England,1983-12-31
1983,4,Pakistan,1983-12-31
1987,1,Australia,1987-12-31
1987,2,England,1987-12-31
1987,3,India,1987-12-31
1987,4,Pakistan,1987-12-31
1992,1,Pakistan,1992-12-31
1992,2,England,1992-12-31
1992,3,New Zealand,1992-12-31
1992,4,South Africa,1992-12-31
1996,1,Sri Lanka,1996-12-31
1996,2,Australia,1996-12-31
1996,3,India,1996-12-31
1996,4,West Indies,1996-12-31
1999,1,Australia,1999-12-31
1999,2,Pakistan,1999-12-31
1999,3,New Zealand,1999-12-31
1999,4,South Africa,1999-12-31
2003,1,Australia,2003-12-31
2003,2,India,2003-12-31
2003,3,Kenya,2003-12-31
2003,4,Sri Lanka,2003-12-31
2007,1,Australia,2007-12-31
2007,2,Sri Lanka,2007-12-31
2007,3,New Zealand,2007-12-31
2007,4,South Africa,2007-12-31
2011,1,India,2011-12-31
2011,2,Sri Lanka,2011-12-31
2011,3,New Zealand,2011-12-31
2011,4,Pakistan,2011-12-31
2015,1,Australia,2015-12-31
2015,2,New Zealand,2015-12-31
2015,3,India,2015-12-31
2015,4,South Africa,2015-12-31
2019,1,England,2019-12-31
2019,2,New Zealand,2019-12-31
2019,3,Australia,2019-12-31
2019,4,India,2019-12-31
2023,1,Australia,2023-12-31
2023,2,India,2023-12-31
2023,3,New Zealand,2023-12-31
2023,4,South Africa,2023-12-31
