ranking_code,comp_type,effective_date,last_updated,rank_type,country_name,country_code_source,source_rank,matches,points,rating
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,Australia,AUS,1,36,4604,128
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,South Africa,SA,2,31,3581,116
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,England,ENG,3,46,5013,109
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,India,IND,4,39,4064,104
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,New Zealand,NZ,5,29,2839,98
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,Sri Lanka,SL,6,27,2364,88
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,Pakistan,PAK,7,25,2050,82
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,West Indies,WI,8,33,2270,69
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,Bangladesh,BAN,9,30,1888,63
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,Ireland,IRE,10,8,185,23
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,Zimbabwe,ZIM,11,18,208,12
test,test,2026-01-08,2026-02-20T22:26+05:30,test-team,Afghanistan,AFG,12,6,62,10
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,India,IND,1,45,5377,119
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,New Zealand,NZ,2,47,5370,114
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Australia,AUS,3,38,4134,109
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Pakistan,PAK,4,41,4294,105
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,South Africa,SA,5,41,4022,98
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Sri Lanka,SL,6,47,4600,98
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Afghanistan,AFG,7,28,2657,95
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,England,ENG,8,43,3782,88
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,West Indies,WI,9,41,3173,77
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Bangladesh,BAN,10,38,2882,76
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Zimbabwe,ZIM,11,24,1291,54
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Ireland,IRE,12,18,938,52
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Scotland,SCO,13,33,1522,46
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,USA,USA,14,38,1668,44
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Netherlands,NED,15,36,1425,40
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Oman,OMN,16,25,886,35
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Nepal,NEP,17,36,959,27
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Namibia,NAM,18,33,707,21
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,Canada,CAN,19,23,357,16
odi,odi,2026-01-27,2026-02-20T22:26+05:30,odi-team,United Arab Emirates,UAE,20,36,396,11
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,India,IND,1,80,21852,273
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,England,ENG,2,52,13433,258
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Australia,AUS,3,49,12645,258
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,New Zealand,NZ,4,62,15515,250
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,South Africa,SA,5,60,14568,243
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Pakistan,PAK,6,82,19516,238
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,West Indies,WI,7,71,16756,236
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Sri Lanka,SL,8,57,12997,228
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Bangladesh,BAN,9,67,14925,223
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Afghanistan,AFG,10,52,11504,221
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Zimbabwe,ZIM,11,69,13969,202
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Ireland,IRE,12,45,9001,200
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Netherlands,NED,13,39,7064,181
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Scotland,SCO,14,27,4836,179
t20,t20,2026-02-20,2026-02-20T22:26+05:30,t20-team,Namibia,NAM,15,39,6940,178
