year,rank,country_name,event_date
1938,1,Germany,1938-12-31
1938,2,Austria,1938-12-31
1938,3,Sweden,1938-12-31
1938,4,Denmark,1938-12-31
1954,1,Sweden,1954-12-31
1954,2,Germany,1954-12-31
1954,3,Czechoslovakia,1954-12-31
1954,4,Switzerland,1954-12-31
1958,1,Sweden,1958-12-31
1958,2,Czechoslovakia,1958-12-31
1958,3,Germany,1958-12-31
1958,4,Denmark,1958-12-31
1961,1,Romania,1961-12-31
1961,2,Czechoslovakia,1961-12-31
1961,3,Sweden,1961-12-31
1961,4,Germany,1961-12-31
1964,1,Romania,1964-12-31
1964,2,Sweden,1964-12-31
1964,3,Czechoslovakia,1964-12-31
1964,4,West Germany,1964-12-31
1967,1,Czechoslovakia,1967-12-31
1967,2,Denmark,1967-12-31
1967,3,Romania,1967-12-31
1967,4,Soviet Union,1967-12-31
1970,1,Romania,1970-12-31
1970,2,East Germany,1970-12-31
1970,3,Yugoslavia,1970-12-31
1970,4,Denmark,1970-12-31
1974,1,Romania,1974-12-31
1974,2,East Germany,1974-12-31
1974,3,Yugoslavia,1974-12-31
1974,4,Poland,1974-12-31
1978,1,West Germany,1978-12-31
1978,2,Soviet Union,1978-12-31
1978,3,East Germany,1978-12-31
1978,4,Denmark,1978-12-31
1982,1,Soviet Union,1982-12-31
1982,2,Yugoslavia,1982-12-31
1982,3,Poland,1982-12-31
1982,4,Denmark,1982-12-31
1986,1,Yugoslavia,1986-12-31
1986,2,Hungary,1986-12-31
1986,3,East Germany,1986-12-31
1986,4,Sweden,1986-12-31
1990,1,Sweden,1990-12-31
1990,2,Soviet Union,1990-12-31
1990,3,Romania,1990-12-31
1990,4,Yugoslavia,1990-12-31
1993,1,Russia,1993-12-31
1993,2,France,1993-12-31
1993,3,Sweden,1993-12-31
1993,4,Switzerland,1993-12-31
1995,1,France,1995-12-31
1995,2,Croatia,1995-12-31
1995,3,Sweden,1995-12-31
1995,4,Germany,1995-12-31
1997,1,Russia,1997-12-31
1997,2,Sweden,1997-12-31
1997,3,France,1997-12-31
1997,4,Hungary,1997-12-31
1999,1,Sweden,1999-12-31
1999,2,Russia,1999-12-31
1999,3,FR Yugoslavia,1999-12-31
1999,4,Spain,1999-12-31
2001,1,France,2001-12-31
2001,2,Sweden,2001-12-31
2001,3,FR Yugoslavia,2001-12-31
2001,4,Egypt,2001-12-31
2003,1,Croatia,2003-12-31
2003,2,Germany,2003-12-31
2003,3,France,2003-12-31
2003,4,Spain,2003-12-31
2005,1,Spain,2005-12-31
2005,2,Croatia,2005-12-31
2005,3,France,2005-12-31
2005,4,Tunisia,2005-12-31
2007,1,Germany,2007-12-31
2007,2,Poland,2007-12-31
2007,3,Denmark,2007-12-31
2007,4,France,2007-12-31
2009,1,France,2009-12-31
2009,2,Croatia,2009-12-31
2009,3,Poland,2009-12-31
2009,4,Denmark,2009-12-31
2011,1,France,2011-12-31
2011,2,Denmark,2011-12-31
2011,3,Spain,2011-12-31
2011,4,Sweden,2011-12-31
2013,1,Spain,2013-12-31
2013,2,Denmark,2013-12-31
2013,3,Croatia,2013-12-31
2013,4,Slovenia,2013-12-31
2015,1,France,2015-12-31
2015,2,Qatar,2015-12-31
2015,3,Poland,2015-12-31
2015,4,Spain,2015-12-31
2017,1,France,2017-12-31
2017,2,Norway,2017-12-31
2017,3,Slovenia,2017-12-31
2017,4,Croatia,2017-12-31
2019,1,Denmark,2019-12-31
2019,2,Norway,2019-12-31
2019,3,France,2019-12-31
2019,4,Germany,2019-12-31
2021,1,Denmark,2021-12-31
2021,2,Sweden,2021-12-31
2021,3,Spain,2021-12-31
2021,4,France,2021-12-31
2023,1,Denmark,2023-12-31
2023,2,France,2023-12-31
2023,3,Spain,2023-12-31
2023,4,Sweden,2023-12-31
2025,1,Denmark,2025-12-31
2025,2,Croatia,2025-12-31
2025,3,France,2025-12-31
2025,4,Portugal,2025-12-31
