year,rank,country_name,event_date
1957,1,Czechoslovakia,1957-12-31
1957,2,Hungary,1957-12-31
1957,3,Yugoslavia,1957-12-31
1957,4,West Germany,1957-12-31
1962,1,Romania,1962-12-31
1962,2,Denmark,1962-12-31
1962,3,Czechoslovakia,1962-12-31
1962,4,Yugoslavia,1962-12-31
1965,1,Hungary,1965-12-31
1965,2,Yugoslavia,1965-12-31
1965,3,West Germany,1965-12-31
1965,4,Czechoslovakia,1965-12-31
1971,1,East Germany,1971-12-31
1971,2,Yugoslavia,1971-12-31
1971,3,Hungary,1971-12-31
1971,4,Romania,1971-12-31
1973,1,Yugoslavia,1973-12-31
1973,2,Romania,1973-12-31
1973,3,Soviet Union,1973-12-31
1973,4,Hungary,1973-12-31
1975,1,East Germany,1975-12-31
1975,2,Soviet Union,1975-12-31
1975,3,Hungary,1975-12-31
1975,4,Romania,1975-12-31
1978,1,East Germany,1978-12-31
1978,2,Soviet Union,1978-12-31
1978,3,Hungary,1978-12-31
1978,4,Czechoslovakia,1978-12-31
1982,1,Soviet Union,1982-12-31
1982,2,Hungary,1982-12-31
1982,3,Yugoslavia,1982-12-31
1982,4,East Germany,1982-12-31
1986,1,Soviet Union,1986-12-31
1986,2,Czechoslovakia,1986-12-31
1986,3,Norway,1986-12-31
1986,4,East Germany,1986-12-31
1990,1,Soviet Union,1990-12-31
1990,2,Yugoslavia,1990-12-31
1990,3,East Germany,1990-12-31
1990,4,West Germany,1990-12-31
1993,1,Germany,1993-12-31
1993,2,Denmark,1993-12-31
1993,3,Norway,1993-12-31
1993,4,Romania,1993-12-31
1995,1,South Korea,1995-12-31
1995,2,Hungary,1995-12-31
1995,3,Denmark,1995-12-31
1995,4,Norway,1995-12-31
1997,1,Denmark,1997-12-31
1997,2,Norway,1997-12-31
1997,3,Germany,1997-12-31
1997,4,Russia,1997-12-31
1999,1,Norway,1999-12-31
1999,2,France,1999-12-31
1999,3,Austria,1999-12-31
1999,4,Romania,1999-12-31
2001,1,Russia,2001-12-31
2001,2,Norway,2001-12-31
2001,3,FR Yugoslavia,2001-12-31
2001,4,Denmark,2001-12-31
2003,1,France,2003-12-31
2003,2,Hungary,2003-12-31
2003,3,South Korea,2003-12-31
2003,4,Ukraine,2003-12-31
2005,1,Russia,2005-12-31
2005,2,Romania,2005-12-31
2005,3,Hungary,2005-12-31
2005,4,Denmark,2005-12-31
2007,1,Russia,2007-12-31
2007,2,Norway,2007-12-31
2007,3,Germany,2007-12-31
2007,4,Romania,2007-12-31
2009,1,Russia,2009-12-31
2009,2,France,2009-12-31
2009,3,Norway,2009-12-31
2009,4,Spain,2009-12-31
2011,1,Norway,2011-12-31
2011,2,France,2011-12-31
2011,3,Spain,2011-12-31
2011,4,Denmark,2011-12-31
2013,1,Brazil,2013-12-31
2013,2,Serbia,2013-12-31
2013,3,Denmark,2013-12-31
2013,4,Poland,2013-12-31
2015,1,Norway,2015-12-31
2015,2,Netherlands,2015-12-31
2015,3,Romania,2015-12-31
2015,4,Poland,2015-12-31
2017,1,France,2017-12-31
2017,2,Norway,2017-12-31
2017,3,Netherlands,2017-12-31
2017,4,Sweden,2017-12-31
2019,1,Netherlands,2019-12-31
2019,2,Spain,2019-12-31
2019,3,Russia,2019-12-31
2019,4,Norway,2019-12-31
2021,1,Norway,2021-12-31
2021,2,France,2021-12-31
2021,3,Denmark,2021-12-31
2021,4,Spain,2021-12-31
2023,1,France,2023-12-31
2023,2,Norway,2023-12-31
2023,3,Denmark,2023-12-31
2023,4,Sweden,2023-12-31
2025,1,Norway,2025-12-31
2025,2,Germany,2025-12-31
2025,3,France,2025-12-31
2025,4,Netherlands,2025-12-31
