competition_id,competition_name,year,event_date,discipline_key,discipline_name,event_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,1,gold,athlete,Kosei Inoue,Japan,JPN,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,2,silver,athlete,Antal Kovács,Hungary,HUN,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,3,bronze,athlete,Askhat Zhitkeyev,Kazakhstan,KAZ,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-100-kg,Judo Men -100 kg,Half-heavyweight (-100 kg),men,3,bronze,athlete,Jang Sung-ho,"Korea, Republic of",KOR,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,1,gold,athlete,Anis Lounifi,Tunisia,TUN,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,2,silver,athlete,Cédric Taymans,Belgium,BEL,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,3,bronze,athlete,John Buchanan,United Kingdom,GBR,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-60-kg,Judo Men -60 kg,Extra-lightweight (-60 kg),men,3,bronze,athlete,Kazuhiko Tokuno,Japan,JPN,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-66-kg,Judo Men -66 kg,Half-lightweight (-66 kg),men,1,gold,athlete,Arash Miresmaili,IRI,IRI,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
world_judo_championships,World Judo Championships,2001,2001-12-31,judo-men-minus-66-kg,Judo Men -66 kg,Half-lightweight (-66 kg),men,2,silver,athlete,Musa Nastuyev,Ukraine,UKR,https://en.wikipedia.org/wiki/2001_World_Judo_Championships
