competition_id,competition_name,year,event_date,discipline_key,discipline_name,gender,rank,medal,participant_type,participant_name,country_name,country_code,source_url
world_lacrosse_championship,World Lacrosse Championship,2002,2002-12-31,field-lacrosse,Field lacrosse,men,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2002,2002-12-31,field-lacrosse,Field lacrosse,men,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2002,2002-12-31,field-lacrosse,Field lacrosse,men,3,bronze,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2002,2002-12-31,field-lacrosse,Field lacrosse,men,4,,team,Haudenosaunee,Haudenosaunee,HAU,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2006,2006-12-31,field-lacrosse,Field lacrosse,men,1,gold,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2006,2006-12-31,field-lacrosse,Field lacrosse,men,2,silver,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2006,2006-12-31,field-lacrosse,Field lacrosse,men,3,bronze,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2006,2006-12-31,field-lacrosse,Field lacrosse,men,4,,team,Haudenosaunee,Haudenosaunee,HAU,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2010,2010-12-31,field-lacrosse,Field lacrosse,men,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2010,2010-12-31,field-lacrosse,Field lacrosse,men,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2010,2010-12-31,field-lacrosse,Field lacrosse,men,3,bronze,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2010,2010-12-31,field-lacrosse,Field lacrosse,men,4,,team,Japan,Japan,JPN,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2014,2014-12-31,field-lacrosse,Field lacrosse,men,1,gold,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2014,2014-12-31,field-lacrosse,Field lacrosse,men,2,silver,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2014,2014-12-31,field-lacrosse,Field lacrosse,men,3,bronze,team,Haudenosaunee,Haudenosaunee,HAU,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2014,2014-12-31,field-lacrosse,Field lacrosse,men,4,,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2018,2018-12-31,field-lacrosse,Field lacrosse,men,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2018,2018-12-31,field-lacrosse,Field lacrosse,men,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2018,2018-12-31,field-lacrosse,Field lacrosse,men,3,bronze,team,Haudenosaunee,Haudenosaunee,HAU,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2018,2018-12-31,field-lacrosse,Field lacrosse,men,4,,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2023,2023-12-31,field-lacrosse,Field lacrosse,men,1,gold,team,United States,United States,USA,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2023,2023-12-31,field-lacrosse,Field lacrosse,men,2,silver,team,Canada,Canada,CAN,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2023,2023-12-31,field-lacrosse,Field lacrosse,men,3,bronze,team,Haudenosaunee,Haudenosaunee,HAU,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
world_lacrosse_championship,World Lacrosse Championship,2023,2023-12-31,field-lacrosse,Field lacrosse,men,4,,team,Australia,Australia,AUS,https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship
