code,name,discipline,event,color
SUI,Franjo von Allmen,Alpine skiing,Men's Downhill,G
ITA,Giovanni Franzoni,Alpine skiing,Men's Downhill,S
ITA,Dominik Paris,Alpine skiing,Men's Downhill,B
SUI,Franjo von Allmen,Alpine skiing,Men's Super-G,G
USA,Ryan Cochran-Siegle,Alpine skiing,Men's Super-G,S
SUI,Marco Odermatt,Alpine skiing,Men's Super-G,B
BRA,Lucas Pinheiro Braathen,Alpine skiing,Men's Giant slalom,G
SUI,Marco Odermatt,Alpine skiing,Men's Giant slalom,S
SUI,Loïc Meillard,Alpine skiing,Men's Giant slalom,B
SUI,Loïc Meillard,Alpine skiing,Men's Slalom,G
AUT,Fabio Gstrein,Alpine skiing,Men's Slalom,S
NOR,Henrik Kristoffersen,Alpine skiing,Men's Slalom,B
SUI,,Alpine skiing,Men's Team combined,G
AUT,,Alpine skiing,Men's Team combined,S
SUI,,Alpine skiing,Men's Team combined,S
USA,Breezy Johnson,Alpine skiing,Women's Downhill,G
GER,Emma Aicher,Alpine skiing,Women's Downhill,S
ITA,Sofia Goggia,Alpine skiing,Women's Downhill,B
ITA,Federica Brignone,Alpine skiing,Women's Super-G,G
FRA,Romane Miradoli,Alpine skiing,Women's Super-G,S
AUT,Cornelia Hütter,Alpine skiing,Women's Super-G,B
ITA,Federica Brignone,Alpine skiing,Women's Giant slalom,G
NOR,Thea Louise Stjernesund,Alpine skiing,Women's Giant slalom,S
SWE,Sara Hector,Alpine skiing,Women's Giant slalom,S
USA,Mikaela Shiffrin,Alpine skiing,Women's Slalom,G
SUI,Camille Rast,Alpine skiing,Women's Slalom,S
SWE,Anna Swenn-Larsson,Alpine skiing,Women's Slalom,B
AUT,,Alpine skiing,Women's Team combined,G
GER,,Alpine skiing,Women's Team combined,S
USA,,Alpine skiing,Women's Team combined,B
NOR,Johan-Olav Botn,Biathlon,Men's Individual,G
FRA,Éric Perrot,Biathlon,Men's Individual,S
NOR,Sturla Holm Lægreid,Biathlon,Men's Individual,B
FRA,Quentin Fillon Maillet,Biathlon,Men's Sprint,G
NOR,Vetle Sjåstad Christiansen,Biathlon,Men's Sprint,S
NOR,Sturla Holm Lægreid,Biathlon,Men's Sprint,B
SWE,Martin Ponsiluoma,Biathlon,Men's Pursuit,G
NOR,Sturla Holm Lægreid,Biathlon,Men's Pursuit,S
FRA,Émilien Jacquelin,Biathlon,Men's Pursuit,B
NOR,Johannes Dale-Skjevdal,Biathlon,Men's Mass start,G
NOR,Sturla Holm Lægreid,Biathlon,Men's Mass start,S
FRA,Quentin Fillon Maillet,Biathlon,Men's Mass start,B
FRA,,Biathlon,Men's Relay,G
NOR,,Biathlon,Men's Relay,S
SWE,,Biathlon,Men's Relay,B
FRA,Julia Simon,Biathlon,Women's Individual,G
FRA,Lou Jeanmonnot,Biathlon,Women's Individual,S
BUL,Lora Hristova,Biathlon,Women's Individual,B
NOR,Maren Kirkeeide,Biathlon,Women's Sprint,G
FRA,Océane Michelon,Biathlon,Women's Sprint,S
FRA,Lou Jeanmonnot,Biathlon,Women's Sprint,B
ITA,Lisa Vittozzi,Biathlon,Women's Pursuit,G
NOR,Maren Kirkeeide,Biathlon,Women's Pursuit,S
FIN,Suvi Minkkinen,Biathlon,Women's Pursuit,B
FRA,Océane Michelon,Biathlon,Women's Mass start,G
FRA,Julia Simon,Biathlon,Women's Mass start,S
