year,rank,country_name,event_date
1991,1,United States,1991-04-14
1991,2,England,1991-04-14
1991,3,France,1991-04-14
1991,4,New Zealand,1991-04-14
1994,1,England,1994-04-24
1994,2,United States,1994-04-24
1994,3,France,1994-04-24
1994,4,Wales,1994-04-24
1998,1,New Zealand,1998-05-16
1998,2,United States,1998-05-16
1998,3,England,1998-05-16
1998,4,Canada,1998-05-16
2002,1,New Zealand,2002-05-25
2002,2,England,2002-05-25
2002,3,France,2002-05-25
2002,4,Canada,2002-05-25
2006,1,New Zealand,2006-09-17
2006,2,England,2006-09-17
2006,3,France,2006-09-17
2006,4,Canada,2006-09-17
2010,1,New Zealand,2010-09-05
2010,2,England,2010-09-05
2010,3,Australia,2010-09-05
2010,4,France,2010-09-05
2014,1,England,2014-08-17
2014,2,Canada,2014-08-17
2014,3,France,2014-08-17
2014,4,Ireland,2014-08-17
2017,1,New Zealand,2017-08-26
2017,2,England,2017-08-26
2017,3,France,2017-08-26
2017,4,United States,2017-08-26
2021,1,New Zealand,2022-11-12
2021,2,England,2022-11-12
2021,3,France,2022-11-12
2021,4,Canada,2022-11-12
2025,1,England,2025-09-27
2025,2,Canada,2025-09-27
2025,3,New Zealand,2025-09-27
2025,4,France,2025-09-27
