year,event_date,discipline_key,discipline_name,gender,rank,medal,participant_type,participant_name,country_name
1926,1926-12-31,mens_doubles,Men's doubles,men,1,gold,team,Roland Jacobi / Daniel Pecsi,Kingdom of Hungary
1926,1926-12-31,mens_doubles,Men's doubles,men,2,silver,team,Béla von Kehrling / Zoltán Mechlovits,Kingdom of Hungary
1926,1926-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Cyril Mossford / Hedley Penny,Wales
1926,1926-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Paul Flussmann / Munio Pillinger,Austria
1926,1926-12-31,mens_singles,Men's singles,men,1,gold,athlete,Roland Jacobi,Kingdom of Hungary
1926,1926-12-31,mens_singles,Men's singles,men,2,silver,athlete,Zoltán Mechlovits,Kingdom of Hungary
1926,1926-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Munio Pillinger,Austria
1926,1926-12-31,mens_singles,Men's singles,men,3,bronze,athlete,S.R.G. Suppiah,India
1926,1926-12-31,mens_team,Men's team,men,1,gold,team,Kingdom of Hungary,Kingdom of Hungary
1926,1926-12-31,mens_team,Men's team,men,2,silver,team,Austria,Austria
1926,1926-12-31,mens_team,Men's team,men,3,bronze,team,England,England
1926,1926-12-31,mens_team,Men's team,men,3,bronze,team,India,India
1926,1926-12-31,mixed_doubles,Mixed doubles,mixed,1,gold,team,Zoltán Mechlovits / Mária Mednyánszky,Kingdom of Hungary
1926,1926-12-31,mixed_doubles,Mixed doubles,mixed,2,silver,team,Roland Jacobi / Linda Gleeson,Kingdom of Hungary
1926,1926-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Eduard Freudenheim / Gertrude Wildam,Austria
1926,1926-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,H.A. Bennett / Winifred Land,England
1926,1926-12-31,womens_singles,Women's singles,women,1,gold,athlete,Mária Mednyánszky,Kingdom of Hungary
1926,1926-12-31,womens_singles,Women's singles,women,2,silver,athlete,Doris Gubbins,Wales
1926,1926-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Anastasia Flussmann,Austria
1926,1926-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Winifred Land,England
1928,1928-12-31,mens_doubles,Men's doubles,men,1,gold,team,Alfred Liebster / Robert Thum,Austria
1928,1928-12-31,mens_doubles,Men's doubles,men,2,silver,team,Charlie Bull / Fred Perry,England
1928,1928-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Laszlo Bellak / Sándor Glancz,Kingdom of Hungary
1928,1928-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Roland Jacobi / Zoltán Mechlovits,Kingdom of Hungary
1928,1928-12-31,mens_singles,Men's singles,men,1,gold,athlete,Zoltán Mechlovits,Kingdom of Hungary
1928,1928-12-31,mens_singles,Men's singles,men,2,silver,athlete,Laszlo Bellak,Kingdom of Hungary
1928,1928-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Alfred Liebster,Austria
1928,1928-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Paul Flussmann,Austria
1928,1928-12-31,mens_team,Men's team,men,1,gold,team,Kingdom of Hungary,Kingdom of Hungary
1928,1928-12-31,mens_team,Men's team,men,2,silver,team,Austria,Austria
1928,1928-12-31,mens_team,Men's team,men,3,bronze,team,England,England
1928,1928-12-31,mixed_doubles,Mixed doubles,mixed,1,gold,team,Zoltán Mechlovits / Mária Mednyánszky,Kingdom of Hungary
1928,1928-12-31,mixed_doubles,Mixed doubles,mixed,2,silver,team,Daniel Pecsi / Erika Metzger,Kingdom of Hungary
1928,1928-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Charles Bull / Joan Ingram,England
1928,1928-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Fred Perry / Winifred Land,England
1928,1928-12-31,womens_doubles,Women's doubles,women,1,gold,team,Fanchette Flamm / Mária Mednyánszky,Austria
1928,1928-12-31,womens_doubles,Women's doubles,women,2,silver,team,Doris Gubbins / Brenda Sommerville,Wales
1928,1928-12-31,womens_doubles,Women's doubles,women,3,bronze,team,Joan Ingram / Winifred Land,England
1928,1928-12-31,womens_singles,Women's singles,women,1,gold,athlete,Mária Mednyánszky,Kingdom of Hungary
1928,1928-12-31,womens_singles,Women's singles,women,2,silver,athlete,Erika Metzger,Weimar Republic
1928,1928-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Doris Gubbins,Wales
1928,1928-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Joan Ingram,England
1929,1929-12-31,mens_doubles,Men's doubles,men,1,gold,team,Viktor Barna / Miklós Szabados,Kingdom of Hungary
1929,1929-12-31,mens_doubles,Men's doubles,men,2,silver,team,Laszlo Bellak / Sándor Glancz,Kingdom of Hungary
1929,1929-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Charlie Bull / Fred Perry,England
1929,1929-12-31,mens_doubles,Men's doubles,men,3,bronze,team,István Reti / György Szegedi,Kingdom of Hungary
1929,1929-12-31,mens_singles,Men's singles,men,1,gold,athlete,Fred Perry,England
1929,1929-12-31,mens_singles,Men's singles,men,2,silver,athlete,Miklós Szabados,Kingdom of Hungary
1929,1929-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Adrian Haydon,England
1929,1929-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Zoltán Mechlovits,Kingdom of Hungary
1929,1929-12-31,mens_team,Men's team,men,1,gold,team,Kingdom of Hungary,Kingdom of Hungary
1929,1929-12-31,mens_team,Men's team,men,2,silver,team,Austria,Austria
1929,1929-12-31,mens_team,Men's team,men,3,bronze,team,England,England
1929,1929-12-31,mixed_doubles,Mixed doubles,mixed,1,gold,team,Stephen Kelen / Anna Sipos,Kingdom of Hungary
1929,1929-12-31,mixed_doubles,Mixed doubles,mixed,2,silver,team,Laszlo Bellak / Magda Gál,Kingdom of Hungary
1929,1929-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Alfred Liebster / Gertrude Wildam,Austria
1929,1929-12-31,mixed_doubles,Mixed doubles,mixed,3,bronze,team,Zoltán Mechlovits / Mária Mednyánszky,Kingdom of Hungary
1929,1929-12-31,womens_doubles,Women's doubles,women,1,gold,team,Erika Metzger / Mona Rüster,Weimar Republic
1929,1929-12-31,womens_doubles,Women's doubles,women,2,silver,team,Fanchette Flamm / Gertrude Wildam,Austria
1929,1929-12-31,womens_doubles,Women's doubles,women,3,bronze,team,Magda Gál / IIona Zádor,Kingdom of Hungary
1929,1929-12-31,womens_doubles,Women's doubles,women,3,bronze,team,Mária Mednyánszky / Anna Sipos,Kingdom of Hungary
1929,1929-12-31,womens_singles,Women's singles,women,1,gold,athlete,Mária Mednyánszky,Kingdom of Hungary
1929,1929-12-31,womens_singles,Women's singles,women,2,silver,athlete,Gertrude Wildam,Austria
1929,1929-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Anna Sipos,Kingdom of Hungary
1929,1929-12-31,womens_singles,Women's singles,women,3,bronze,athlete,Magda Gál,Kingdom of Hungary
1930,1930-12-31,mens_doubles,Men's doubles,men,1,gold,team,Viktor Barna / Miklós Szabados,Kingdom of Hungary
1930,1930-12-31,mens_doubles,Men's doubles,men,2,silver,team,Alfred Liebster / Robert Thum,Austria
1930,1930-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Laszlo Bellak / Sándor Glancz,Kingdom of Hungary
1930,1930-12-31,mens_doubles,Men's doubles,men,3,bronze,team,Valter Kolmodin / Hille Nilsson,Sweden
1930,1930-12-31,mens_singles,Men's singles,men,1,gold,athlete,Viktor Barna,Kingdom of Hungary
1930,1930-12-31,mens_singles,Men's singles,men,2,silver,athlete,Laszlo Bellak,Kingdom of Hungary
1930,1930-12-31,mens_singles,Men's singles,men,3,bronze,athlete,Lajos Dávid,Kingdom of Hungary
