year,gender,weight_class,competition_id,competition_name,event_date,discipline_key,discipline_name,event_name,rank,medal,participant_type,participant_name,country_name,country_code,source_url
2001,men,bantam,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Bantam,1,gold,athlete,NAM-WON KANG,KOR,KOR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,bantam,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Bantam,2,silver,athlete,LOPEZ Peter,PER,PER,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,bantam,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Bantam,3,bronze,athlete,MIGUEL TOLEDO,ESP,ESP,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,bantam,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Bantam,3,bronze,athlete,KIYOTERU HIGUCHI,JPN,JPN,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,fin,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Fin,1,gold,athlete,YEON-HO CHOI,KOR,KOR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,fin,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Fin,2,silver,athlete,MU YEN CHU,TPE,TPE,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,fin,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Fin,3,bronze,athlete,JUAN RAMOS SANCHEZ,ESP,ESP,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,fin,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Fin,3,bronze,athlete,ROBERTO CRUZ,PHI,PHI,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,fly,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Fly,1,gold,athlete,BEHZAD KHODADA KANJOBERH,IRI,IRI,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,fly,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Fly,2,silver,athlete,EDUORD HEGAI,UZB,UZB,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,fly,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Fly,3,bronze,athlete,DAE-RYUNG KIM,KOR,KOR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,fly,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Fly,3,bronze,athlete,SEYFULA MAGOMEDOV,RUS,RUS,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,heavy,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Heavy,1,gold,athlete,FERRY GREEVINK,NED,NED,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,heavy,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Heavy,2,silver,athlete,HADI AFSHAR BAKESHIOU,IRI,IRI,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,heavy,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Heavy,3,bronze,athlete,MIODRAG KUZMANOVIC,CRO,CRO,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,heavy,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Heavy,3,bronze,athlete,RUBEN MONTESINOS,ESP,ESP,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,light,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Light,1,gold,athlete,LOPEZ Steven,USA,USA,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,light,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Light,2,silver,athlete,JESPER ROESEN,DEN,DEN,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,light,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Light,3,bronze,athlete,ATHANASIOS BALILIS,GRE,GRE,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,light,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Light,3,bronze,athlete,JOSE LUIS RAMIREZ,MEX,MEX,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,middle,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Middle,1,gold,athlete,BAHRI TANRIKULU,TUR,TUR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,middle,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Middle,2,silver,athlete,MICKAEL BOROT,FRA,FRA,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,middle,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Middle,3,bronze,athlete,JON GARCIA AGUADO,ESP,ESP,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,middle,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Middle,3,bronze,athlete,KYONG-HUN KIM,KOR,KOR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,welter,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Welter,1,gold,athlete,MAMEDHY DOUCARA,FRA,FRA,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,welter,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Welter,2,silver,athlete,MAHMOUD NAPOLEON AKOUSH,EGY,EGY,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,welter,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Welter,3,bronze,athlete,MARCIN CHORZELEWS,POL,POL,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,men,welter,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Men Welter,3,bronze,athlete,BEKIR AYDIN,TUR,TUR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,bantam,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Bantam,1,gold,athlete,JAE-EUN JUNG,KOR,KOR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,bantam,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Bantam,2,silver,athlete,GEMMA MAGRIA,ESP,ESP,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,bantam,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Bantam,3,bronze,athlete,PAMELA AGOSTINELLI,ITA,ITA,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,bantam,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Bantam,3,bronze,athlete,PAOLA FELIX,MEX,MEX,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,feather,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Feather,1,gold,athlete,JI-WON JANG,KOR,KOR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,feather,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Feather,2,silver,athlete,IRIDIA SALAZAR,MEX,MEX,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,feather,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Feather,3,bronze,athlete,SONIA Reyes Saez,ESP,ESP,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,fin,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Fin,1,gold,athlete,KADRIYE SELIMOGLU,TUR,TUR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,fin,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Fin,2,silver,athlete,SOO-YANG KIM,KOR,KOR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,fin,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Fin,3,bronze,athlete,TAO KONG FAN,CHN,CHN,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,fin,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Fin,3,bronze,athlete,DALIA CONTRERAS,VEN,VEN,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,fly,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Fly,1,gold,athlete,HYE-YOUNG LEE,KOR,KOR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,fly,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Fly,2,silver,athlete,BRIGITTE YAGÜE ENRIQUE,ESP,ESP,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,fly,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Fly,3,bronze,athlete,MAGDA SEIREKEIDOU,GRE,GRE,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,fly,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Fly,3,bronze,athlete,CHUN HUANG CHIA,TPE,TPE,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
2001,women,heavy,world_taekwondo_championships,World Taekwondo Championships,2001-12-31,taekwondo,Taekwondo,Women Heavy,1,gold,athlete,KYUNG-HYEON SHIN,KOR,KOR,https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists
