year,rank,country_name,event_date
1949,1,Soviet Union,1949-12-31
1949,2,Czechoslovakia,1949-12-31
1949,3,Bulgaria,1949-12-31
1949,4,Romania,1949-12-31
1952,1,Soviet Union,1952-12-31
1952,2,Czechoslovakia,1952-12-31
1952,3,Bulgaria,1952-12-31
1952,4,Romania,1952-12-31
1956,1,Czechoslovakia,1956-12-31
1956,2,Romania,1956-12-31
1956,3,Soviet Union,1956-12-31
1956,4,Bulgaria,1956-12-31
1960,1,Soviet Union,1960-12-31
1960,2,Czechoslovakia,1960-12-31
1960,3,Romania,1960-12-31
1960,4,Bulgaria,1960-12-31
1962,1,Brazil,1962-12-31
1962,2,Czechoslovakia,1962-12-31
1962,3,Romania,1962-12-31
1962,4,Soviet Union,1962-12-31
1966,1,Czechoslovakia,1966-12-31
1966,2,Romania,1966-12-31
1966,3,Soviet Union,1966-12-31
1966,4,East Germany,1966-12-31
1970,1,East Germany,1970-12-31
1970,2,Bulgaria,1970-12-31
1970,3,Czechoslovakia,1970-12-31
1970,4,Romania,1970-12-31
1974,1,Poland,1974-12-31
1974,2,Soviet Union,1974-12-31
1974,3,East Germany,1974-12-31
1974,4,Czechoslovakia,1974-12-31
1978,1,Soviet Union,1978-12-31
1978,2,Italy,1978-12-31
1978,3,Cuba,1978-12-31
1978,4,South Korea,1978-12-31
1982,1,Soviet Union,1982-12-31
1982,2,Brazil,1982-12-31
1982,3,Argentina,1982-12-31
1982,4,Japan,1982-12-31
1986,1,United States,1986-12-31
1986,2,Soviet Union,1986-12-31
1986,3,Bulgaria,1986-12-31
1986,4,Cuba,1986-12-31
1990,1,Italy,1990-12-31
1990,2,Cuba,1990-12-31
1990,3,Soviet Union,1990-12-31
1990,4,Brazil,1990-12-31
1994,1,Italy,1994-12-31
1994,2,Netherlands,1994-12-31
1994,3,United States,1994-12-31
1994,4,Cuba,1994-12-31
1998,1,Italy,1998-12-31
1998,2,Yugoslavia,1998-12-31
1998,3,Cuba,1998-12-31
1998,4,Brazil,1998-12-31
2002,1,Brazil,2002-12-31
2002,2,Russia,2002-12-31
2002,3,France,2002-12-31
2002,4,Serbia and Montenegro,2002-12-31
2006,1,Brazil,2006-12-31
2006,2,Poland,2006-12-31
2006,3,Bulgaria,2006-12-31
2006,4,Serbia and Montenegro,2006-12-31
2010,1,Brazil,2010-12-31
2010,2,Cuba,2010-12-31
2010,3,Serbia,2010-12-31
2010,4,Italy,2010-12-31
2014,1,Poland,2014-12-31
2014,2,Brazil,2014-12-31
2014,3,Germany,2014-12-31
2014,4,France,2014-12-31
2018,1,Poland,2018-12-31
2018,2,Brazil,2018-12-31
2018,3,United States,2018-12-31
2018,4,Serbia,2018-12-31
2022,1,Italy,2022-12-31
2022,2,Poland,2022-12-31
2022,3,Brazil,2022-12-31
2022,4,Slovenia,2022-12-31
2025,1,Poland,2025-12-31
2025,2,Italy,2025-12-31
2025,3,Brazil,2025-12-31
2025,4,Slovenia,2025-12-31
