year,rank,country_name,event_date
1952,1,Soviet Union,1952-12-31
1952,2,Poland,1952-12-31
1952,3,Czechoslovakia,1952-12-31
1952,4,Bulgaria,1952-12-31
1956,1,Soviet Union,1956-12-31
1956,2,Romania,1956-12-31
1956,3,Poland,1956-12-31
1956,4,Czechoslovakia,1956-12-31
1960,1,Soviet Union,1960-12-31
1960,2,Japan,1960-12-31
1960,3,Czechoslovakia,1960-12-31
1960,4,Poland,1960-12-31
1962,1,Japan,1962-12-31
1962,2,Soviet Union,1962-12-31
1962,3,Poland,1962-12-31
1962,4,Romania,1962-12-31
1967,1,Japan,1967-12-31
1967,2,United States,1967-12-31
1967,3,South Korea,1967-12-31
1967,4,Peru,1967-12-31
1970,1,Soviet Union,1970-12-31
1970,2,Japan,1970-12-31
1970,3,North Korea,1970-12-31
1970,4,Hungary,1970-12-31
1974,1,Japan,1974-12-31
1974,2,Soviet Union,1974-12-31
1974,3,South Korea,1974-12-31
1974,4,East Germany,1974-12-31
1978,1,Cuba,1978-12-31
1978,2,Japan,1978-12-31
1978,3,Soviet Union,1978-12-31
1978,4,South Korea,1978-12-31
1982,1,China,1982-12-31
1982,2,Peru,1982-12-31
1982,3,United States,1982-12-31
1982,4,Japan,1982-12-31
1986,1,China,1986-12-31
1986,2,Cuba,1986-12-31
1986,3,Peru,1986-12-31
1986,4,East Germany,1986-12-31
1990,1,Soviet Union,1990-12-31
1990,2,China,1990-12-31
1990,3,United States,1990-12-31
1990,4,Cuba,1990-12-31
1994,1,Cuba,1994-12-31
1994,2,Brazil,1994-12-31
1994,3,Russia,1994-12-31
1994,4,South Korea,1994-12-31
1998,1,Cuba,1998-12-31
1998,2,China,1998-12-31
1998,3,Russia,1998-12-31
1998,4,Brazil,1998-12-31
2002,1,Italy,2002-12-31
2002,2,United States,2002-12-31
2002,3,Russia,2002-12-31
2002,4,China,2002-12-31
2006,1,Russia,2006-12-31
2006,2,Brazil,2006-12-31
2006,3,Serbia and Montenegro,2006-12-31
2006,4,Italy,2006-12-31
2010,1,Russia,2010-12-31
2010,2,Brazil,2010-12-31
2010,3,Japan,2010-12-31
2010,4,United States,2010-12-31
2014,1,United States,2014-12-31
2014,2,China,2014-12-31
2014,3,Brazil,2014-12-31
2014,4,Italy,2014-12-31
2018,1,Serbia,2018-12-31
2018,2,Italy,2018-12-31
2018,3,China,2018-12-31
2018,4,Netherlands,2018-12-31
2022,1,Serbia,2022-12-31
2022,2,Brazil,2022-12-31
2022,3,Italy,2022-12-31
2022,4,United States,2022-12-31
2025,1,Italy,2025-12-31
2025,2,Turkey,2025-12-31
2025,3,Brazil,2025-12-31
2025,4,Japan,2025-12-31
