year,rank,country_name,event_date
1991,1,United States,1991-11-30
1991,2,Norway,1991-11-30
1991,3,Sweden,1991-11-30
1991,4,Germany,1991-11-30
1995,1,Norway,1995-06-18
1995,2,Germany,1995-06-18
1995,3,United States,1995-06-18
1995,4,China PR,1995-06-18
1999,1,United States,1999-07-10
1999,2,China PR,1999-07-10
1999,3,Brazil,1999-07-10
1999,4,Norway,1999-07-10
2003,1,Germany,2003-10-12
2003,2,Sweden,2003-10-12
2003,3,United States,2003-10-12
2003,4,Canada,2003-10-12
2007,1,Germany,2007-09-30
2007,2,Brazil,2007-09-30
2007,3,United States,2007-09-30
2007,4,Norway,2007-09-30
2011,1,Japan,2011-07-17
2011,2,United States,2011-07-17
2011,3,Sweden,2011-07-17
2011,4,France,2011-07-17
2015,1,United States,2015-07-05
2015,2,Japan,2015-07-05
2015,3,England,2015-07-05
2015,4,Germany,2015-07-05
2019,1,United States,2019-07-07
2019,2,Netherlands,2019-07-07
2019,3,Sweden,2019-07-07
2019,4,England,2019-07-07
2023,1,Spain,2023-08-20
2023,2,England,2023-08-20
2023,3,Sweden,2023-08-20
2023,4,Australia,2023-08-20
