year,rank,country_name,event_date
2000,1,New Zealand,2000-12-31
2000,2,Great Britain,2000-12-31
2000,3,Australia,2000-12-31
2003,1,New Zealand,2003-12-31
2003,2,New Zealand Maori,2003-12-31
2003,3,Australia,2003-12-31
2003,3,Great Britain,2003-12-31
2008,1,New Zealand,2008-12-31
2008,2,Australia,2008-12-31
2008,3,England,2008-12-31
2008,4,Pacific Islands,2008-12-31
2013,1,Australia,2013-12-31
2013,2,New Zealand,2013-12-31
2013,3,England,2013-12-31
2013,4,France,2013-12-31
2017,1,Australia,2017-12-02
2017,2,New Zealand,2017-12-02
2017,3,Canada,2017-12-02
2017,3,England,2017-12-02
2021,1,Australia,2022-11-19
2021,2,New Zealand,2022-11-19
2021,3,England,2022-11-19
2021,3,Papua New Guinea,2022-11-19
