year,rank,country_name,event_date
1993,1,England,1993-12-31
1993,2,Australia,1993-12-31
1993,3,Fiji,1993-12-31
1993,3,Ireland,1993-12-31
1997,1,Fiji,1997-12-31
1997,2,South Africa,1997-12-31
1997,3,New Zealand,1997-12-31
1997,3,Samoa,1997-12-31
2001,1,New Zealand,2001-12-31
2001,2,Australia,2001-12-31
2001,3,Argentina,2001-12-31
2001,3,Fiji,2001-12-31
2005,1,Fiji,2005-12-31
2005,2,New Zealand,2005-12-31
2005,3,Australia,2005-12-31
2005,3,England,2005-12-31
2009,1,Wales,2009-12-31
2009,2,Argentina,2009-12-31
2009,3,Samoa,2009-12-31
2009,3,Kenya,2009-12-31
2013,1,New Zealand,2013-12-31
2013,2,England,2013-12-31
2013,3,Fiji,2013-12-31
2013,4,Kenya,2013-12-31
2018,1,New Zealand,2018-12-31
2018,2,England,2018-12-31
2018,3,South Africa,2018-12-31
2018,4,Fiji,2018-12-31
2022,1,Fiji,2022-12-31
2022,2,New Zealand,2022-12-31
2022,3,Ireland,2022-12-31
2022,4,Australia,2022-12-31
