year,rank,country_name,event_date
1987,1,New Zealand,1987-06-20
1987,2,France,1987-06-20
1987,3,Wales,1987-06-20
1987,4,Australia,1987-06-20
1991,1,Australia,1991-11-02
1991,2,England,1991-11-02
1991,3,New Zealand,1991-11-02
1991,4,Scotland,1991-11-02
1995,1,South Africa,1995-06-24
1995,2,New Zealand,1995-06-24
1995,3,France,1995-06-24
1995,4,England,1995-06-24
1999,1,Australia,1999-11-06
1999,2,France,1999-11-06
1999,3,South Africa,1999-11-06
1999,4,New Zealand,1999-11-06
2003,1,England,2003-11-22
2003,2,Australia,2003-11-22
2003,3,New Zealand,2003-11-22
2003,4,France,2003-11-22
2007,1,South Africa,2007-10-20
2007,2,England,2007-10-20
2007,3,Argentina,2007-10-20
2007,4,France,2007-10-20
2011,1,New Zealand,2011-10-23
2011,2,France,2011-10-23
2011,3,Australia,2011-10-23
2011,4,Wales,2011-10-23
2015,1,New Zealand,2015-10-31
2015,2,Australia,2015-10-31
2015,3,South Africa,2015-10-31
2015,4,Argentina,2015-10-31
2019,1,South Africa,2019-11-02
2019,2,England,2019-11-02
2019,3,New Zealand,2019-11-02
2019,4,Wales,2019-11-02
2023,1,South Africa,2023-10-28
2023,2,New Zealand,2023-10-28
2023,3,England,2023-10-28
2023,4,Argentina,2023-10-28
