sport,requested_year,effective_date,country_name,country_code,source_rank,points
mru,2020,2020-12-28,South Africa,ZAF,1,94.19552411380744
mru,2020,2020-12-28,England,ENG,2,89.4870925203653
mru,2020,2020-12-28,New Zealand,NZL,3,88.95117451813175
mru,2020,2020-12-28,France,FRA,4,85.30402572376639
mru,2020,2020-12-28,Ireland,IRL,5,84.65066173701928
mru,2020,2020-12-28,Australia,AUS,6,83.07919186732138
mru,2020,2020-12-28,Scotland,SCO,7,80.81608009108159
mru,2020,2020-12-28,Argentina,ARG,8,80.30508585222823
mru,2020,2020-12-28,Wales,WAL,9,79.36356687892018
mru,2020,2020-12-28,Japan,JPN,10,79.28814880867652
mru,2020,2020-12-28,Fiji,FJI,11,76.87034419907285
mru,2020,2020-12-28,Georgia,GEO,12,72.18129397008919
mru,2020,2020-12-28,Tonga,TON,13,71.43809651184523
mru,2020,2020-12-28,Italy,ITA,14,70.88456620118458
mru,2020,2020-12-28,Samoa,WSM,15,70.71915268111617
mru,2020,2020-12-28,USA,USA,16,68.09613293058611
mru,2020,2020-12-28,Spain,ESP,17,67.51223078565857
mru,2020,2020-12-28,Uruguay,URY,18,67.01548005191843
mru,2020,2020-12-28,Romania,ROU,19,65.32507432033003
mru,2020,2020-12-28,Portugal,PRT,20,62.44490611696459
mru,2020,2020-12-28,Russia,RUS,21,62.11656323013591
mru,2020,2020-12-28,Hong Kong China,HKG,22,61.23134129802591
mru,2020,2020-12-28,Canada,CAN,23,61.10700748275581
mru,2020,2020-12-28,Namibia,NAM,24,61.03848307224272
mru,2020,2020-12-28,Netherlands,NLD,25,60.09217350994533
mru,2020,2020-12-28,Brazil,BRA,26,57.706327336833446
mru,2020,2020-12-28,Belgium,BEL,27,57.167680409877555
mru,2020,2020-12-28,Switzerland,CHE,28,54.12384004366224
mru,2020,2020-12-28,Chile,CHL,29,53.811682538727766
mru,2020,2020-12-28,Germany,DEU,30,53.13359279809373
mru,2020,2020-12-28,Korea,KOR,31,53.1080675204941
mru,2020,2020-12-28,Kenya,KEN,32,52.55264099431328
mru,2020,2020-12-28,Colombia,COL,33,51.86912538393289
mru,2020,2020-12-28,Poland,POL,34,51.12777644384646
mru,2020,2020-12-28,Zimbabwe,ZWE,35,50.707025465062756
mru,2020,2020-12-28,Ukraine,UKR,36,50.34669616278553
mru,2020,2020-12-28,Czechia,CZE,37,50.03351742852971
mru,2020,2020-12-28,Malta,MLT,38,49.12601925819086
mru,2020,2020-12-28,Tunisia,TUN,39,48.54903005522828
mru,2020,2020-12-28,Uganda,UGA,40,47.85395343779786
mru,2020,2020-12-28,Philippines,PHL,41,47.79565441444189
mru,2020,2020-12-28,Cote D'Ivoire,CIV,42,47.624937474740136
mru,2020,2020-12-28,Mexico,MEX,43,47.21997381579543
mru,2020,2020-12-28,Lithuania,LTU,44,47.15551968995885
mru,2020,2020-12-28,Croatia,HRV,45,46.92127445643195
mru,2020,2020-12-28,Paraguay,PRY,46,46.87132059625185
mru,2020,2020-12-28,Sri Lanka,LKA,47,46.725970816327404
mru,2020,2020-12-28,Morocco,MAR,48,46.33345200516988
