database,base_path,table_name,rows_synced
competition,/Users/romain/dev/DataSport/data/processed/databases/competition,competitions,87
competition,/Users/romain/dev/DataSport/data/processed/databases/competition,countries,322
competition,/Users/romain/dev/DataSport/data/processed/databases/competition,disciplines,319
competition,/Users/romain/dev/DataSport/data/processed/databases/competition,events,10921
competition,/Users/romain/dev/DataSport/data/processed/databases/competition,participants,21610
competition,/Users/romain/dev/DataSport/data/processed/databases/competition,results,44967
competition,/Users/romain/dev/DataSport/data/processed/databases/competition,sources,48
competition,/Users/romain/dev/DataSport/data/processed/databases/competition,sport_federations,3
competition,/Users/romain/dev/DataSport/data/processed/databases/competition,sports,90
lineage,/Users/romain/dev/DataSport/data/processed/databases/lineage,raw_imports,169
