participant_id,type,display_name,country_id
biathlon_world_athlete_Paavo_Puurunen_FIN,athlete,Paavo Puurunen,FIN
biathlon_world_athlete_Vadim_Sashurin_BLR,athlete,Vadim Sashurin,BLR
biathlon_world_athlete_Ilmrs_Bricis_LAT,athlete,Ilmārs Bricis,LAT
biathlon_world_athlete_Raphaël_Poirée_FRA,athlete,Raphaël Poirée,FRA
biathlon_world_athlete_Ole_Einar_Bjørndalen_NOR,athlete,Ole Einar Bjørndalen,NOR
biathlon_world_athlete_Sven_Fischer_GER,athlete,Sven Fischer,GER
biathlon_world_athlete_Pavel_Rostovtsev_RUS,athlete,Pavel Rostovtsev,RUS
biathlon_world_team_France_Gilles_Marguet__Vincent_Defrasne__Julien_Robert__Raphaël_Poirée_FRA,team,France,FRA
biathlon_world_team_Belarus_Alexei_Aidarov__Alexander_Syman__Oleg_Ryzhenkov__Vadim_Sashurin_BLR,team,Belarus,BLR
biathlon_world_team_Norway_Egil_Gjelland__Frode_Andresen__Halvard_Hanevold__Ole_Einar_Bjørndalen_NOR,team,Norway,NOR
biathlon_world_athlete_René_Cattarinussi_ITA,athlete,René Cattarinussi,ITA
biathlon_world_athlete_Halvard_Hanevold_NOR,athlete,Halvard Hanevold,NOR
biathlon_world_athlete_Magdalena_Forsberg_SWE,athlete,Magdalena Forsberg,SWE
biathlon_world_athlete_Liv_Grete_Poirée_NOR,athlete,Liv Grete Poirée,NOR
biathlon_world_athlete_Olena_Zubrilova_UKR,athlete,Olena Zubrilova,UKR
biathlon_world_athlete_Martina_Glagow_GER,athlete,Martina Glagow,GER
biathlon_world_athlete_Corinne_Niogret_FRA,athlete,Corinne Niogret,FRA
biathlon_world_team_Russia_Olga_Pyleva__Anna_Bogaliy__Galina_Kukleva__Svetlana_Ishmouratova_RUS,team,Russia,RUS
biathlon_world_team_Germany_Uschi_Disl__Katrin_Apel__Andrea_Henkel__Kati_Wilhelm_GER,team,Germany,GER
biathlon_world_team_Ukraine_Olena_Zubrilova__Olena_Petrova__Nina_Lemesh__Tetyana_Vodopyanova_UKR,team,Ukraine,UKR
biathlon_world_athlete_Kati_Wilhelm_GER,athlete,Kati Wilhelm,GER
biathlon_world_athlete_Uschi_Disl_GER,athlete,Uschi Disl,GER
biathlon_world_athlete_Frode_Andresen_NOR,athlete,Frode Andresen,NOR
biathlon_world_athlete_Olga_Pyleva_RUS,athlete,Olga Pyleva,RUS
