event_id,participant_id,rank,medal,score_raw,points_awarded
biathlon_world_championships_2001_men_individual-20-km,biathlon_world_athlete_Paavo_Puurunen_FIN,1,gold,discipline=Biathlon;event=Biathlon World Championships Men Individual (20 km);event_label=Individual (20 km);team_members=;entry_country=FIN;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2001_men_individual-20-km,biathlon_world_athlete_Vadim_Sashurin_BLR,2,silver,discipline=Biathlon;event=Biathlon World Championships Men Individual (20 km);event_label=Individual (20 km);team_members=;entry_country=BLR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2001_men_individual-20-km,biathlon_world_athlete_Ilmrs_Bricis_LAT,3,bronze,discipline=Biathlon;event=Biathlon World Championships Men Individual (20 km);event_label=Individual (20 km);team_members=;entry_country=LAT;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2001_men_mass-start-15-km,biathlon_world_athlete_Raphaël_Poirée_FRA,1,gold,discipline=Biathlon;event=Biathlon World Championships Men Mass start (15 km);event_label=Mass start (15 km);team_members=;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2001_men_mass-start-15-km,biathlon_world_athlete_Ole_Einar_Bjørndalen_NOR,2,silver,discipline=Biathlon;event=Biathlon World Championships Men Mass start (15 km);event_label=Mass start (15 km);team_members=;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2001_men_mass-start-15-km,biathlon_world_athlete_Sven_Fischer_GER,3,bronze,discipline=Biathlon;event=Biathlon World Championships Men Mass start (15 km);event_label=Mass start (15 km);team_members=;entry_country=GER;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2001_men_pursuit-12-5-km,biathlon_world_athlete_Pavel_Rostovtsev_RUS,1,gold,discipline=Biathlon;event=Biathlon World Championships Men Pursuit (12.5 km);event_label=Pursuit (12.5 km);team_members=;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2001_men_pursuit-12-5-km,biathlon_world_athlete_Raphaël_Poirée_FRA,2,silver,discipline=Biathlon;event=Biathlon World Championships Men Pursuit (12.5 km);event_label=Pursuit (12.5 km);team_members=;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2001_men_pursuit-12-5-km,biathlon_world_athlete_Sven_Fischer_GER,3,bronze,discipline=Biathlon;event=Biathlon World Championships Men Pursuit (12.5 km);event_label=Pursuit (12.5 km);team_members=;entry_country=GER;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2001_men_relay-4-7-5-km,biathlon_world_team_France_Gilles_Marguet__Vincent_Defrasne__Julien_Robert__Raphaël_Poirée_FRA,1,gold,discipline=Biathlon;event=Biathlon World Championships Men Relay (4 × 7.5 km);event_label=Relay (4 × 7.5 km);team_members=Gilles Marguet / Vincent Defrasne / Julien Robert / Raphaël Poirée;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2001_men_relay-4-7-5-km,biathlon_world_team_Belarus_Alexei_Aidarov__Alexander_Syman__Oleg_Ryzhenkov__Vadim_Sashurin_BLR,2,silver,discipline=Biathlon;event=Biathlon World Championships Men Relay (4 × 7.5 km);event_label=Relay (4 × 7.5 km);team_members=Alexei Aidarov / Alexander Syman / Oleg Ryzhenkov / Vadim Sashurin;entry_country=BLR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
biathlon_world_championships_2001_men_relay-4-7-5-km,biathlon_world_team_Norway_Egil_Gjelland__Frode_Andresen__Halvard_Hanevold__Ole_Einar_Bjørndalen_NOR,3,bronze,discipline=Biathlon;event=Biathlon World Championships Men Relay (4 × 7.5 km);event_label=Relay (4 × 7.5 km);team_members=Egil Gjelland / Frode Andresen / Halvard Hanevold / Ole Einar Bjørndalen;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,5.0
biathlon_world_championships_2001_men_sprint-10-km,biathlon_world_athlete_Pavel_Rostovtsev_RUS,1,gold,discipline=Biathlon;event=Biathlon World Championships Men Sprint (10 km);event_label=Sprint (10 km);team_members=;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,10.0
biathlon_world_championships_2001_men_sprint-10-km,biathlon_world_athlete_René_Cattarinussi_ITA,2,silver,discipline=Biathlon;event=Biathlon World Championships Men Sprint (10 km);event_label=Sprint (10 km);team_members=;entry_country=ITA;source_url=https://en.wikipedia.org/wiki/Biathlon_World_Championships,7.0
