event_id,participant_id,rank,medal,score_raw,points_awarded
billie_jean_king_cup_2001,BEL,1,gold,billie_jean_king_cup_final_rank=1;score=2–1;source_year=2001;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,10.0
billie_jean_king_cup_2001,RUS,2,silver,billie_jean_king_cup_final_rank=2;score=2–1;source_year=2001;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,7.0
billie_jean_king_cup_2002,SVK,1,gold,billie_jean_king_cup_final_rank=1;score=3–1;source_year=2002;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,10.0
billie_jean_king_cup_2002,ESP,2,silver,billie_jean_king_cup_final_rank=2;score=3–1;source_year=2002;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,7.0
billie_jean_king_cup_2003,FRA,1,gold,billie_jean_king_cup_final_rank=1;score=4–1;source_year=2003;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,10.0
billie_jean_king_cup_2003,USA,2,silver,billie_jean_king_cup_final_rank=2;score=4–1;source_year=2003;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,7.0
billie_jean_king_cup_2004,RUS,1,gold,billie_jean_king_cup_final_rank=1;score=3–2;source_year=2004;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,10.0
billie_jean_king_cup_2004,FRA,2,silver,billie_jean_king_cup_final_rank=2;score=3–2;source_year=2004;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,7.0
billie_jean_king_cup_2005,RUS,1,gold,billie_jean_king_cup_final_rank=1;score=3–2;source_year=2005;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,10.0
billie_jean_king_cup_2005,FRA,2,silver,billie_jean_king_cup_final_rank=2;score=3–2;source_year=2005;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,7.0
billie_jean_king_cup_2006,ITA,1,gold,billie_jean_king_cup_final_rank=1;score=3–2;source_year=2006;source_url=https://en.wikipedia.org/wiki/List_of_Billie_Jean_King_Cup_champions,10.0
