event_id,competition_id,discipline_id,gender,event_class,event_date
bwf_thomas_cup_2002,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2002-12-31
bwf_thomas_cup_2004,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2004-12-31
bwf_thomas_cup_2006,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2006-12-31
bwf_thomas_cup_2008,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2008-12-31
bwf_thomas_cup_2010,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2010-12-31
bwf_thomas_cup_2012,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2012-12-31
bwf_thomas_cup_2014,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2014-12-31
bwf_thomas_cup_2016,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2016-12-31
bwf_thomas_cup_2018,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2018-12-31
bwf_thomas_cup_2020,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2020-12-31
bwf_thomas_cup_2022,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2022-12-31
bwf_thomas_cup_2024,bwf_thomas_cup,badminton-team,men,final_ranking_top4,2024-12-31
bwf_uber_cup_2002,bwf_uber_cup,badminton-team,women,final_ranking_top4,2002-12-31
bwf_uber_cup_2004,bwf_uber_cup,badminton-team,women,final_ranking_top4,2004-12-31
bwf_uber_cup_2006,bwf_uber_cup,badminton-team,women,final_ranking_top4,2006-12-31
bwf_uber_cup_2008,bwf_uber_cup,badminton-team,women,final_ranking_top4,2008-12-31
bwf_uber_cup_2010,bwf_uber_cup,badminton-team,women,final_ranking_top4,2010-12-31
bwf_uber_cup_2012,bwf_uber_cup,badminton-team,women,final_ranking_top4,2012-12-31
bwf_uber_cup_2014,bwf_uber_cup,badminton-team,women,final_ranking_top4,2014-12-31
bwf_uber_cup_2016,bwf_uber_cup,badminton-team,women,final_ranking_top4,2016-12-31
bwf_uber_cup_2018,bwf_uber_cup,badminton-team,women,final_ranking_top4,2018-12-31
bwf_uber_cup_2020,bwf_uber_cup,badminton-team,women,final_ranking_top4,2020-12-31
bwf_uber_cup_2022,bwf_uber_cup,badminton-team,women,final_ranking_top4,2022-12-31
bwf_uber_cup_2024,bwf_uber_cup,badminton-team,women,final_ranking_top4,2024-12-31
