event_id,participant_id,rank,medal,score_raw,points_awarded
bwf_thomas_cup_2002,IDN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2002,MYS,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2002,CHN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2002,DNK,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2004,CHN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2004,DNK,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2004,IDN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2004,KOR,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2006,CHN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2006,DNK,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2006,IDN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2006,MYS,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2008,CHN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2008,KOR,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2008,IDN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2008,MYS,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2010,CHN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2010,IDN,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2010,JPN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2010,MYS,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2012,CHN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2012,KOR,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2012,DNK,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2012,JPN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2014,JPN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2014,MYS,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2014,CHN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2014,IDN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2016,DNK,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2016,IDN,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2016,KOR,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2016,MYS,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2018,CHN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2018,JPN,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2018,DNK,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2018,IDN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2020,IDN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2020,CHN,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2020,DNK,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2020,JPN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2022,IND,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2022,IDN,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2022,DNK,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2022,JPN,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2024,CHN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,10.0
bwf_thomas_cup_2024,IDN,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,7.0
bwf_thomas_cup_2024,MYS,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_thomas_cup_2024,TPE,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Thomas_Cup,5.0
bwf_uber_cup_2002,CHN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Uber_Cup,10.0
bwf_uber_cup_2002,KOR,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Uber_Cup,7.0
bwf_uber_cup_2002,HKG,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Uber_Cup,5.0
bwf_uber_cup_2002,NLD,3,bronze,thomas_uber_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Uber_Cup,5.0
bwf_uber_cup_2004,CHN,1,gold,thomas_uber_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Uber_Cup,10.0
bwf_uber_cup_2004,KOR,2,silver,thomas_uber_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Uber_Cup,7.0
