country_id,iso2,iso3,name_en,name_fr
IDN,ID,IDN,Indonesia,
SWE,SE,SWE,Sweden,
ENG,,ENG,England,
DNK,DK,DNK,Denmark,
SCO,,SCO,Scotland,
JPN,JP,JPN,Japan,
NLD,NL,NLD,Netherlands,
MYS,MY,MYS,Malaysia,
KOR,KR,KOR,"Korea, Republic of",
CHN,CN,CHN,China,
IND,IN,IND,India,
TPE,,TPE,Chinese Taipei,
USA,US,USA,United States,
NZL,NZ,NZL,New Zealand,
THA,TH,THA,Thailand,
DEU,DE,DEU,Germany,
HKG,HK,HKG,Hong Kong,
FRA,FR,FRA,France,
VNM,VN,VNM,Viet Nam,
ESP,ES,ESP,Spain,
SGP,SG,SGP,Singapore,
CAN,CA,CAN,Canada,
