event_id,competition_id,discipline_id,gender,event_class,event_date
bwf_world_championships_1977_mens_doubles,bwf_world_championships,badminton_mens-doubles,men,final_ranking_top4,1977-12-31
bwf_world_championships_1977_mens_singles,bwf_world_championships,badminton_mens-singles,men,final_ranking_top4,1977-12-31
bwf_world_championships_1977_mixed_doubles,bwf_world_championships,badminton_mixed-doubles,mixed,final_ranking_top4,1977-12-31
bwf_world_championships_1977_womens_doubles,bwf_world_championships,badminton_womens-doubles,women,final_ranking_top4,1977-12-31
bwf_world_championships_1977_womens_singles,bwf_world_championships,badminton_womens-singles,women,final_ranking_top4,1977-12-31
bwf_world_championships_1980_mens_doubles,bwf_world_championships,badminton_mens-doubles,men,final_ranking_top4,1980-12-31
bwf_world_championships_1980_mens_singles,bwf_world_championships,badminton_mens-singles,men,final_ranking_top4,1980-12-31
bwf_world_championships_1980_mixed_doubles,bwf_world_championships,badminton_mixed-doubles,mixed,final_ranking_top4,1980-12-31
bwf_world_championships_1980_womens_doubles,bwf_world_championships,badminton_womens-doubles,women,final_ranking_top4,1980-12-31
bwf_world_championships_1980_womens_singles,bwf_world_championships,badminton_womens-singles,women,final_ranking_top4,1980-12-31
bwf_world_championships_1983_mens_doubles,bwf_world_championships,badminton_mens-doubles,men,final_ranking_top4,1983-12-31
bwf_world_championships_1983_mens_singles,bwf_world_championships,badminton_mens-singles,men,final_ranking_top4,1983-12-31
bwf_world_championships_1983_mixed_doubles,bwf_world_championships,badminton_mixed-doubles,mixed,final_ranking_top4,1983-12-31
bwf_world_championships_1983_womens_doubles,bwf_world_championships,badminton_womens-doubles,women,final_ranking_top4,1983-12-31
bwf_world_championships_1983_womens_singles,bwf_world_championships,badminton_womens-singles,women,final_ranking_top4,1983-12-31
bwf_world_championships_1985_mens_doubles,bwf_world_championships,badminton_mens-doubles,men,final_ranking_top4,1985-12-31
bwf_world_championships_1985_mens_singles,bwf_world_championships,badminton_mens-singles,men,final_ranking_top4,1985-12-31
bwf_world_championships_1985_mixed_doubles,bwf_world_championships,badminton_mixed-doubles,mixed,final_ranking_top4,1985-12-31
bwf_world_championships_1985_womens_doubles,bwf_world_championships,badminton_womens-doubles,women,final_ranking_top4,1985-12-31
bwf_world_championships_1985_womens_singles,bwf_world_championships,badminton_womens-singles,women,final_ranking_top4,1985-12-31
bwf_world_championships_1987_mens_doubles,bwf_world_championships,badminton_mens-doubles,men,final_ranking_top4,1987-12-31
bwf_world_championships_1987_mens_singles,bwf_world_championships,badminton_mens-singles,men,final_ranking_top4,1987-12-31
bwf_world_championships_1987_mixed_doubles,bwf_world_championships,badminton_mixed-doubles,mixed,final_ranking_top4,1987-12-31
bwf_world_championships_1987_womens_doubles,bwf_world_championships,badminton_womens-doubles,women,final_ranking_top4,1987-12-31
bwf_world_championships_1987_womens_singles,bwf_world_championships,badminton_womens-singles,women,final_ranking_top4,1987-12-31
bwf_world_championships_1989_mens_doubles,bwf_world_championships,badminton_mens-doubles,men,final_ranking_top4,1989-12-31
bwf_world_championships_1989_mens_singles,bwf_world_championships,badminton_mens-singles,men,final_ranking_top4,1989-12-31
bwf_world_championships_1989_mixed_doubles,bwf_world_championships,badminton_mixed-doubles,mixed,final_ranking_top4,1989-12-31
bwf_world_championships_1989_womens_doubles,bwf_world_championships,badminton_womens-doubles,women,final_ranking_top4,1989-12-31
bwf_world_championships_1989_womens_singles,bwf_world_championships,badminton_womens-singles,women,final_ranking_top4,1989-12-31
bwf_world_championships_1991_mens_doubles,bwf_world_championships,badminton_mens-doubles,men,final_ranking_top4,1991-12-31
bwf_world_championships_1991_mens_singles,bwf_world_championships,badminton_mens-singles,men,final_ranking_top4,1991-12-31
bwf_world_championships_1991_mixed_doubles,bwf_world_championships,badminton_mixed-doubles,mixed,final_ranking_top4,1991-12-31
bwf_world_championships_1991_womens_doubles,bwf_world_championships,badminton_womens-doubles,women,final_ranking_top4,1991-12-31
bwf_world_championships_1991_womens_singles,bwf_world_championships,badminton_womens-singles,women,final_ranking_top4,1991-12-31
bwf_world_championships_1993_mens_doubles,bwf_world_championships,badminton_mens-doubles,men,final_ranking_top4,1993-12-31
bwf_world_championships_1993_mens_singles,bwf_world_championships,badminton_mens-singles,men,final_ranking_top4,1993-12-31
bwf_world_championships_1993_mixed_doubles,bwf_world_championships,badminton_mixed-doubles,mixed,final_ranking_top4,1993-12-31
bwf_world_championships_1993_womens_doubles,bwf_world_championships,badminton_womens-doubles,women,final_ranking_top4,1993-12-31
bwf_world_championships_1993_womens_singles,bwf_world_championships,badminton_womens-singles,women,final_ranking_top4,1993-12-31
bwf_world_championships_1995_mens_doubles,bwf_world_championships,badminton_mens-doubles,men,final_ranking_top4,1995-12-31
bwf_world_championships_1995_mens_singles,bwf_world_championships,badminton_mens-singles,men,final_ranking_top4,1995-12-31
bwf_world_championships_1995_mixed_doubles,bwf_world_championships,badminton_mixed-doubles,mixed,final_ranking_top4,1995-12-31
bwf_world_championships_1995_womens_doubles,bwf_world_championships,badminton_womens-doubles,women,final_ranking_top4,1995-12-31
