participant_id,type,display_name,country_id
pair_Tjun_Tjun__Johan_Wahjudi_IDN,team,Tjun Tjun / Johan Wahjudi,IDN
pair_Ade_Chandra__Christian_Hadinata_IDN,team,Ade Chandra / Christian Hadinata,IDN
pair_Bengt_Fröman__Thomas_Kihlström_SWE,team,Bengt Fröman / Thomas Kihlström,SWE
pair_Ray_Stevens__Mike_Tredgett_ENG,team,Ray Stevens / Mike Tredgett,ENG
athlete_Flemming_Delfs_DNK,athlete,Flemming Delfs,DNK
athlete_Svend_Pri_DNK,athlete,Svend Pri,DNK
athlete_Iie_Sumirat_IDN,athlete,Iie Sumirat,IDN
athlete_Thomas_Kihlström_SWE,athlete,Thomas Kihlström,SWE
pair_Steen_Skovgaard__Lene_Køppen_DNK,team,Steen Skovgaard / Lene Køppen,DNK
pair_Derek_Talbot__Gillian_Gilks_ENG,team,Derek Talbot / Gillian Gilks,ENG
pair_Billy_Gilliland__Joanne_Flockhart_SCO,team,Billy Gilliland / Joanne Flockhart,SCO
pair_Mike_Tredgett__Nora_Perry_ENG,team,Mike Tredgett / Nora Perry,ENG
pair_Etsuko_Toganoo__Emiko_Ueno_JPN,team,Etsuko Toganoo / Emiko Ueno,JPN
pair_Marjan_Ridder__Joke_van_Beusekom_NLD,team,Marjan Ridder / Joke van Beusekom,NLD
pair_Inge_Borgstrøm__Pia_Nielsen_DNK,team,Inge Borgstrøm / Pia Nielsen,DNK
pair_Margaret_Beck__Nora_Perry_ENG,team,Margaret Beck / Nora Perry,ENG
athlete_Lene_Køppen_DNK,athlete,Lene Køppen,DNK
athlete_Gillian_Gilks_ENG,athlete,Gillian Gilks,ENG
athlete_Hiroe_Yuki_JPN,athlete,Hiroe Yuki,JPN
athlete_Margaret_Lockwood_ENG,athlete,Margaret Lockwood,ENG
pair_Rudy_Heryanto__Hariamanto_Kartono_IDN,team,Rudy Heryanto / Hariamanto Kartono,IDN
pair_Flemming_Delfs__Steen_Skovgaard_DNK,team,Flemming Delfs / Steen Skovgaard,DNK
pair_Jalani_Sidek__Misbun_Sidek_MYS,team,Jalani Sidek / Misbun Sidek,MYS
athlete_Rudy_Hartono_IDN,athlete,Rudy Hartono,IDN
athlete_Liem_Swie_King_IDN,athlete,Liem Swie King,IDN
athlete_Hadiyanto_IDN,athlete,Hadiyanto,IDN
athlete_Lius_Pongoh_IDN,athlete,Lius Pongoh,IDN
pair_Christian_Hadinata__Imelda_Wiguna_IDN,team,Christian Hadinata / Imelda Wiguna,IDN
pair_Steen_Fladberg__Pia_Nielsen_DNK,team,Steen Fladberg / Pia Nielsen,DNK
pair_Nora_Perry__Jane_Webster_ENG,team,Nora Perry / Jane Webster,ENG
pair_Verawaty_Fadjrin__Imelda_Wiguna_IDN,team,Verawaty Fadjrin / Imelda Wiguna,IDN
pair_Atsuko_Tokuda__Yoshiko_Yonekura_JPN,team,Atsuko Tokuda / Yoshiko Yonekura,JPN
pair_Karen_Bridge__Barbara_Sutton_ENG,team,Karen Bridge / Barbara Sutton,ENG
athlete_Verawaty_Fadjrin_IDN,athlete,Verawaty Fadjrin,IDN
athlete_Ivana_Lie_IDN,athlete,Ivana Lie,IDN
athlete_Taty_Sumirah_IDN,athlete,Taty Sumirah,IDN
pair_Steen_Fladberg__Jesper_Helledie_DNK,team,Steen Fladberg / Jesper Helledie,DNK
pair_Martin_Dew__Mike_Tredgett_ENG,team,Martin Dew / Mike Tredgett,ENG
pair_Bobby_Ertanto__Christian_Hadinata_IDN,team,Bobby Ertanto / Christian Hadinata,IDN
pair_Lee_Eun-ku__Park_Joo-bong_KOR,team,Lee Eun-ku / Park Joo-bong,KOR
athlete_Icuk_Sugiarto_IDN,athlete,Icuk Sugiarto,IDN
athlete_Han_Jian_CHN,athlete,Han Jian,CHN
athlete_Prakash_Padukone_IND,athlete,Prakash Padukone,IND
pair_Thomas_Kihlström__Nora_Perry_SWE,team,Thomas Kihlström / Nora Perry,SWE
pair_Jiang_Guoliang__Lin_Ying_CHN,team,Jiang Guoliang / Lin Ying,CHN
pair_Mike_Tredgett__Karen_Chapman_ENG,team,Mike Tredgett / Karen Chapman,ENG
pair_Lin_Ying__Wu_Dixi_CHN,team,Lin Ying / Wu Dixi,CHN
pair_Gillian_Clark__Gillian_Gilks_ENG,team,Gillian Clark / Gillian Gilks,ENG
pair_Wu_Jianqiu__Xu_Rong_CHN,team,Wu Jianqiu / Xu Rong,CHN
athlete_Li_Lingwei_CHN,athlete,Li Lingwei,CHN
athlete_Han_Aiping_CHN,athlete,Han Aiping,CHN
athlete_Helen_Troke_ENG,athlete,Helen Troke,ENG
athlete_Zhang_Ailing_CHN,athlete,Zhang Ailing,CHN
pair_Kim_Moon-soo__Park_Joo-bong_KOR,team,Kim Moon-soo / Park Joo-bong,KOR
pair_Li_Yongbo__Tian_Bingyi_CHN,team,Li Yongbo / Tian Bingyi,CHN
pair_Hariamanto_Kartono__Liem_Swie_King_IDN,team,Hariamanto Kartono / Liem Swie King,IDN
pair_Mark_Christiansen__Michael_Kjeldsen_DNK,team,Mark Christiansen / Michael Kjeldsen,DNK
athlete_Morten_Frost_DNK,athlete,Morten Frost,DNK
athlete_Jens_Peter_Nierhoff_DNK,athlete,Jens Peter Nierhoff,DNK
athlete_Yang_Yang_CHN,athlete,Yang Yang,CHN
pair_Park_Joo-bong__Yoo_Sang-hee_KOR,team,Park Joo-bong / Yoo Sang-hee,KOR
pair_Stefan_Karlsson__Maria_Bengtsson_SWE,team,Stefan Karlsson / Maria Bengtsson,SWE
pair_Nigel_Tier__Gillian_Gowers_ENG,team,Nigel Tier / Gillian Gowers,ENG
pair_Zhang_Xinguang__Lao_Yujing_CHN,team,Zhang Xinguang / Lao Yujing,CHN
pair_Han_Aiping__Li_Lingwei_CHN,team,Han Aiping / Li Lingwei,CHN
pair_Hwang_Sun-ae__Kang_Haeng-suk_KOR,team,Hwang Sun-ae / Kang Haeng-suk,KOR
pair_Kim_Yun-ja__Yoo_Sang-hee_KOR,team,Kim Yun-ja / Yoo Sang-hee,KOR
athlete_Wu_Jianqui_CHN,athlete,Wu Jianqui,CHN
athlete_Zheng_Yuli_CHN,athlete,Zheng Yuli,CHN
pair_Jalani_Sidek__Razif_Sidek_MYS,team,Jalani Sidek / Razif Sidek,MYS
pair_Michael_Kjeldsen__Jens_Peter_Nierhoff_DNK,team,Michael Kjeldsen / Jens Peter Nierhoff,DNK
