event_id,participant_id,rank,medal,score_raw,points_awarded
bwf_world_championships_1977_mens_doubles,pair_Tjun_Tjun__Johan_Wahjudi_IDN,1,gold,discipline=mens_doubles;rank=1,10.0
bwf_world_championships_1977_mens_doubles,pair_Ade_Chandra__Christian_Hadinata_IDN,2,silver,discipline=mens_doubles;rank=2,7.0
bwf_world_championships_1977_mens_doubles,pair_Bengt_Fröman__Thomas_Kihlström_SWE,3,bronze,discipline=mens_doubles;rank=3,5.0
bwf_world_championships_1977_mens_doubles,pair_Ray_Stevens__Mike_Tredgett_ENG,3,bronze,discipline=mens_doubles;rank=3,5.0
bwf_world_championships_1977_mens_singles,athlete_Flemming_Delfs_DNK,1,gold,discipline=mens_singles;rank=1,10.0
bwf_world_championships_1977_mens_singles,athlete_Svend_Pri_DNK,2,silver,discipline=mens_singles;rank=2,7.0
bwf_world_championships_1977_mens_singles,athlete_Iie_Sumirat_IDN,3,bronze,discipline=mens_singles;rank=3,5.0
bwf_world_championships_1977_mens_singles,athlete_Thomas_Kihlström_SWE,3,bronze,discipline=mens_singles;rank=3,5.0
bwf_world_championships_1977_mixed_doubles,pair_Steen_Skovgaard__Lene_Køppen_DNK,1,gold,discipline=mixed_doubles;rank=1,10.0
bwf_world_championships_1977_mixed_doubles,pair_Derek_Talbot__Gillian_Gilks_ENG,2,silver,discipline=mixed_doubles;rank=2,7.0
bwf_world_championships_1977_mixed_doubles,pair_Billy_Gilliland__Joanne_Flockhart_SCO,3,bronze,discipline=mixed_doubles;rank=3,5.0
bwf_world_championships_1977_mixed_doubles,pair_Mike_Tredgett__Nora_Perry_ENG,3,bronze,discipline=mixed_doubles;rank=3,5.0
bwf_world_championships_1977_womens_doubles,pair_Etsuko_Toganoo__Emiko_Ueno_JPN,1,gold,discipline=womens_doubles;rank=1,10.0
bwf_world_championships_1977_womens_doubles,pair_Marjan_Ridder__Joke_van_Beusekom_NLD,2,silver,discipline=womens_doubles;rank=2,7.0
bwf_world_championships_1977_womens_doubles,pair_Inge_Borgstrøm__Pia_Nielsen_DNK,3,bronze,discipline=womens_doubles;rank=3,5.0
bwf_world_championships_1977_womens_doubles,pair_Margaret_Beck__Nora_Perry_ENG,3,bronze,discipline=womens_doubles;rank=3,5.0
bwf_world_championships_1977_womens_singles,athlete_Lene_Køppen_DNK,1,gold,discipline=womens_singles;rank=1,10.0
bwf_world_championships_1977_womens_singles,athlete_Gillian_Gilks_ENG,2,silver,discipline=womens_singles;rank=2,7.0
bwf_world_championships_1977_womens_singles,athlete_Hiroe_Yuki_JPN,3,bronze,discipline=womens_singles;rank=3,5.0
bwf_world_championships_1977_womens_singles,athlete_Margaret_Lockwood_ENG,3,bronze,discipline=womens_singles;rank=3,5.0
bwf_world_championships_1980_mens_doubles,pair_Ade_Chandra__Christian_Hadinata_IDN,1,gold,discipline=mens_doubles;rank=1,10.0
bwf_world_championships_1980_mens_doubles,pair_Rudy_Heryanto__Hariamanto_Kartono_IDN,2,silver,discipline=mens_doubles;rank=2,7.0
bwf_world_championships_1980_mens_doubles,pair_Flemming_Delfs__Steen_Skovgaard_DNK,3,bronze,discipline=mens_doubles;rank=3,5.0
bwf_world_championships_1980_mens_doubles,pair_Jalani_Sidek__Misbun_Sidek_MYS,3,bronze,discipline=mens_doubles;rank=3,5.0
bwf_world_championships_1980_mens_singles,athlete_Rudy_Hartono_IDN,1,gold,discipline=mens_singles;rank=1,10.0
bwf_world_championships_1980_mens_singles,athlete_Liem_Swie_King_IDN,2,silver,discipline=mens_singles;rank=2,7.0
bwf_world_championships_1980_mens_singles,athlete_Hadiyanto_IDN,3,bronze,discipline=mens_singles;rank=3,5.0
bwf_world_championships_1980_mens_singles,athlete_Lius_Pongoh_IDN,3,bronze,discipline=mens_singles;rank=3,5.0
bwf_world_championships_1980_mixed_doubles,pair_Christian_Hadinata__Imelda_Wiguna_IDN,1,gold,discipline=mixed_doubles;rank=1,10.0
bwf_world_championships_1980_mixed_doubles,pair_Mike_Tredgett__Nora_Perry_ENG,2,silver,discipline=mixed_doubles;rank=2,7.0
bwf_world_championships_1980_mixed_doubles,pair_Steen_Fladberg__Pia_Nielsen_DNK,3,bronze,discipline=mixed_doubles;rank=3,5.0
bwf_world_championships_1980_mixed_doubles,pair_Steen_Skovgaard__Lene_Køppen_DNK,3,bronze,discipline=mixed_doubles;rank=3,5.0
bwf_world_championships_1980_womens_doubles,pair_Nora_Perry__Jane_Webster_ENG,1,gold,discipline=womens_doubles;rank=1,10.0
bwf_world_championships_1980_womens_doubles,pair_Verawaty_Fadjrin__Imelda_Wiguna_IDN,2,silver,discipline=womens_doubles;rank=2,7.0
bwf_world_championships_1980_womens_doubles,pair_Atsuko_Tokuda__Yoshiko_Yonekura_JPN,3,bronze,discipline=womens_doubles;rank=3,5.0
bwf_world_championships_1980_womens_doubles,pair_Karen_Bridge__Barbara_Sutton_ENG,3,bronze,discipline=womens_doubles;rank=3,5.0
bwf_world_championships_1980_womens_singles,athlete_Verawaty_Fadjrin_IDN,1,gold,discipline=womens_singles;rank=1,10.0
bwf_world_championships_1980_womens_singles,athlete_Ivana_Lie_IDN,2,silver,discipline=womens_singles;rank=2,7.0
bwf_world_championships_1980_womens_singles,athlete_Lene_Køppen_DNK,3,bronze,discipline=womens_singles;rank=3,5.0
bwf_world_championships_1980_womens_singles,athlete_Taty_Sumirah_IDN,3,bronze,discipline=womens_singles;rank=3,5.0
bwf_world_championships_1983_mens_doubles,pair_Steen_Fladberg__Jesper_Helledie_DNK,1,gold,discipline=mens_doubles;rank=1,10.0
bwf_world_championships_1983_mens_doubles,pair_Martin_Dew__Mike_Tredgett_ENG,2,silver,discipline=mens_doubles;rank=2,7.0
bwf_world_championships_1983_mens_doubles,pair_Bobby_Ertanto__Christian_Hadinata_IDN,3,bronze,discipline=mens_doubles;rank=3,5.0
bwf_world_championships_1983_mens_doubles,pair_Lee_Eun-ku__Park_Joo-bong_KOR,3,bronze,discipline=mens_doubles;rank=3,5.0
bwf_world_championships_1983_mens_singles,athlete_Icuk_Sugiarto_IDN,1,gold,discipline=mens_singles;rank=1,10.0
bwf_world_championships_1983_mens_singles,athlete_Liem_Swie_King_IDN,2,silver,discipline=mens_singles;rank=2,7.0
bwf_world_championships_1983_mens_singles,athlete_Han_Jian_CHN,3,bronze,discipline=mens_singles;rank=3,5.0
bwf_world_championships_1983_mens_singles,athlete_Prakash_Padukone_IND,3,bronze,discipline=mens_singles;rank=3,5.0
