event_id,competition_id,discipline_id,gender,event_class,event_date
davis_cup_2001,davis_cup,tennis,men,final_ranking_top2,2001-12-31
davis_cup_2002,davis_cup,tennis,men,final_ranking_top2,2002-12-31
davis_cup_2003,davis_cup,tennis,men,final_ranking_top2,2003-12-31
davis_cup_2004,davis_cup,tennis,men,final_ranking_top2,2004-12-31
davis_cup_2005,davis_cup,tennis,men,final_ranking_top2,2005-12-31
davis_cup_2006,davis_cup,tennis,men,final_ranking_top2,2006-12-31
davis_cup_2007,davis_cup,tennis,men,final_ranking_top2,2007-12-31
davis_cup_2008,davis_cup,tennis,men,final_ranking_top2,2008-12-31
davis_cup_2009,davis_cup,tennis,men,final_ranking_top2,2009-12-31
davis_cup_2010,davis_cup,tennis,men,final_ranking_top2,2010-12-31
davis_cup_2011,davis_cup,tennis,men,final_ranking_top2,2011-12-31
davis_cup_2012,davis_cup,tennis,men,final_ranking_top2,2012-12-31
davis_cup_2013,davis_cup,tennis,men,final_ranking_top2,2013-12-31
davis_cup_2014,davis_cup,tennis,men,final_ranking_top2,2014-12-31
davis_cup_2015,davis_cup,tennis,men,final_ranking_top2,2015-12-31
davis_cup_2016,davis_cup,tennis,men,final_ranking_top2,2016-12-31
davis_cup_2017,davis_cup,tennis,men,final_ranking_top2,2017-12-31
davis_cup_2018,davis_cup,tennis,men,final_ranking_top2,2018-12-31
davis_cup_2019,davis_cup,tennis,men,final_ranking_top2,2019-12-31
davis_cup_2021,davis_cup,tennis,men,final_ranking_top2,2021-12-31
davis_cup_2022,davis_cup,tennis,men,final_ranking_top2,2022-12-31
davis_cup_2023,davis_cup,tennis,men,final_ranking_top2,2023-12-31
davis_cup_2024,davis_cup,tennis,men,final_ranking_top2,2024-12-31
davis_cup_2025,davis_cup,tennis,men,final_ranking_top2,2025-12-31
