event_id,participant_id,rank,medal,score_raw,points_awarded
davis_cup_2001,FRA,1,gold,davis_cup_final_rank=1;score=3–2*;source_year=2001;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2001,AUS,2,silver,davis_cup_final_rank=2;score=3–2*;source_year=2001;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2002,RUS,1,gold,davis_cup_final_rank=1;score=3–2*;source_year=2002;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2002,FRA,2,silver,davis_cup_final_rank=2;score=3–2*;source_year=2002;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2003,AUS,1,gold,davis_cup_final_rank=1;score=3–1;source_year=2003;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2003,ESP,2,silver,davis_cup_final_rank=2;score=3–1;source_year=2003;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2004,ESP,1,gold,davis_cup_final_rank=1;score=3–2;source_year=2004;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2004,USA,2,silver,davis_cup_final_rank=2;score=3–2;source_year=2004;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2005,CRO,1,gold,davis_cup_final_rank=1;score=3–2*;source_year=2005;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2005,SVK,2,silver,davis_cup_final_rank=2;score=3–2*;source_year=2005;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2006,RUS,1,gold,davis_cup_final_rank=1;score=3–2;source_year=2006;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2006,ARG,2,silver,davis_cup_final_rank=2;score=3–2;source_year=2006;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2007,USA,1,gold,davis_cup_final_rank=1;score=4–1;source_year=2007;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2007,RUS,2,silver,davis_cup_final_rank=2;score=4–1;source_year=2007;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2008,ESP,1,gold,davis_cup_final_rank=1;score=3–1*;source_year=2008;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2008,ARG,2,silver,davis_cup_final_rank=2;score=3–1*;source_year=2008;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2009,ESP,1,gold,davis_cup_final_rank=1;score=5–0;source_year=2009;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2009,CZE,2,silver,davis_cup_final_rank=2;score=5–0;source_year=2009;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2010,SRB,1,gold,davis_cup_final_rank=1;score=3–2;source_year=2010;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2010,FRA,2,silver,davis_cup_final_rank=2;score=3–2;source_year=2010;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2011,ESP,1,gold,davis_cup_final_rank=1;score=3–1;source_year=2011;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2011,ARG,2,silver,davis_cup_final_rank=2;score=3–1;source_year=2011;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2012,CZE,1,gold,davis_cup_final_rank=1;score=3–2;source_year=2012;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2012,ESP,2,silver,davis_cup_final_rank=2;score=3–2;source_year=2012;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2013,CZE,1,gold,davis_cup_final_rank=1;score=3–2*;source_year=2013;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2013,SRB,2,silver,davis_cup_final_rank=2;score=3–2*;source_year=2013;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2014,SUI,1,gold,davis_cup_final_rank=1;score=3–1*;source_year=2014;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2014,FRA,2,silver,davis_cup_final_rank=2;score=3–1*;source_year=2014;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2015,GBR,1,gold,davis_cup_final_rank=1;score=3–1*;source_year=2015;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2015,BEL,2,silver,davis_cup_final_rank=2;score=3–1*;source_year=2015;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2016,ARG,1,gold,davis_cup_final_rank=1;score=3–2*;source_year=2016;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2016,CRO,2,silver,davis_cup_final_rank=2;score=3–2*;source_year=2016;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2017,FRA,1,gold,davis_cup_final_rank=1;score=3–2;source_year=2017;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2017,BEL,2,silver,davis_cup_final_rank=2;score=3–2;source_year=2017;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2018,CRO,1,gold,davis_cup_final_rank=1;score=3–1*;source_year=2018;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2018,FRA,2,silver,davis_cup_final_rank=2;score=3–1*;source_year=2018;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2019,ESP,1,gold,davis_cup_final_rank=1;score=2–0;source_year=2019;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2019,CAN,2,silver,davis_cup_final_rank=2;score=2–0;source_year=2019;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2021,RTF,1,gold,davis_cup_final_rank=1;score=2–0;source_year=2020-21;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2021,CRO,2,silver,davis_cup_final_rank=2;score=2–0;source_year=2020-21;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2022,CAN,1,gold,davis_cup_final_rank=1;score=2–0;source_year=2022;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2022,AUS,2,silver,davis_cup_final_rank=2;score=2–0;source_year=2022;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2023,ITA,1,gold,davis_cup_final_rank=1;score=2–0;source_year=2023;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2023,AUS,2,silver,davis_cup_final_rank=2;score=2–0;source_year=2023;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2024,ITA,1,gold,davis_cup_final_rank=1;score=2–0;source_year=2024;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2024,NLD,2,silver,davis_cup_final_rank=2;score=2–0;source_year=2024;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
davis_cup_2025,ITA,1,gold,davis_cup_final_rank=1;score=2–0;source_year=2025;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,10.0
davis_cup_2025,ESP,2,silver,davis_cup_final_rank=2;score=2–0;source_year=2025;source_url=https://en.wikipedia.org/wiki/List_of_Davis_Cup_champions,7.0
