participant_id,type,display_name,country_id
equestrian_athlete_Nadine_Capellmann_DEU,athlete,Nadine Capellmann,DEU
equestrian_athlete_Beatriz_Ferrer-Salat_ESP,athlete,Beatriz Ferrer-Salat,ESP
equestrian_athlete_Ulla_Salzgeber_DEU,athlete,Ulla Salzgeber,DEU
equestrian_team_Germany_DEU,team,Germany,DEU
equestrian_team_United_States_USA,team,United States,USA
equestrian_team_Spain_ESP,team,Spain,ESP
equestrian_athlete_Ijsbrand_Chardon_NLD,athlete,Ijsbrand Chardon,NLD
equestrian_athlete_Christoph_Sandmann_DEU,athlete,Christoph Sandmann,DEU
equestrian_athlete_Tomas_Eriksson_SWE,athlete,Tomas Eriksson,SWE
equestrian_team_Netherlands_NLD,team,Netherlands,NLD
equestrian_athlete_Ahmed_bin_Mohd_al_Maktoum_ARE,athlete,Ahmed bin Mohd al Maktoum,ARE
equestrian_athlete_Antonio_Rosi_ITA,athlete,Antonio Rosi,ITA
equestrian_athlete_Sunny_Demedy_FRA,athlete,Sunny Demedy,FRA
equestrian_team_France_FRA,team,France,FRA
equestrian_team_Italy_ITA,team,Italy,ITA
equestrian_team_Australia_AUS,team,Australia,AUS
equestrian_athlete_Jean_Teulere_FRA,athlete,Jean Teulère,FRA
equestrian_athlete_Jeanette_Brakewell_GBR,athlete,Jeanette Brakewell,GBR
equestrian_athlete_Piia_Pantsu_FIN,athlete,Piia Pantsu,FIN
equestrian_team_United_Kingdom_GBR,team,United Kingdom,GBR
equestrian_athlete_Dermott_Lennon_IRL,athlete,Dermott Lennon,IRL
equestrian_athlete_Eric_Navet_FRA,athlete,Eric Navet,FRA
equestrian_athlete_Peter_Wylde_USA,athlete,Peter Wylde,USA
equestrian_team_Sweden_SWE,team,Sweden,SWE
equestrian_team_Belgium_BEL,team,Belgium,BEL
equestrian_athlete_Shawn_Flarida_USA,athlete,Shawn Flarida,USA
equestrian_athlete_Tom_McCutcheon_USA,athlete,Tom McCutcheon,USA
equestrian_athlete_Shawna_Sapergia_CAN,athlete,Shawna Sapergia,CAN
equestrian_team_Canada_CAN,team,Canada,CAN
equestrian_athlete_Matthias_Lang_FRA,athlete,Matthias Lang,FRA
equestrian_athlete_Gero_Meyer_DEU,athlete,Gero Meyer,DEU
equestrian_athlete_Devon_Maitozo_USA,athlete,Devon Maitozo,USA
equestrian_team_Switzerland_CHE,team,Switzerland,CHE
equestrian_athlete_Nadia_Zulow_DEU,athlete,Nadia Zulow,DEU
equestrian_athlete_Rikke_Laumann_DNK,athlete,Rikke Laumann,DNK
equestrian_athlete_Ines_Juckstow_DEU,athlete,Ines Juckstow,DEU
equestrian_athlete_Anky_van_Grunsven_NLD,athlete,Anky van Grunsven,NLD
