event_id,participant_id,rank,medal,score_raw,points_awarded
fei_world_championships_2002_equestrian-dressage-equestrian_individual-dressage_mixed,equestrian_athlete_Nadine_Capellmann_DEU,1,gold,edition=FEI World Equestrian Games;event=Individual dressage;discipline=equestrian-dressage-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-dressage-equestrian_individual-dressage_mixed,equestrian_athlete_Beatriz_Ferrer-Salat_ESP,2,silver,edition=FEI World Equestrian Games;event=Individual dressage;discipline=equestrian-dressage-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
fei_world_championships_2002_equestrian-dressage-equestrian_individual-dressage_mixed,equestrian_athlete_Ulla_Salzgeber_DEU,3,bronze,edition=FEI World Equestrian Games;event=Individual dressage;discipline=equestrian-dressage-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,5.0
fei_world_championships_2002_equestrian-dressage-equestrian_team-dressage_mixed,equestrian_team_Germany_DEU,1,gold,edition=FEI World Equestrian Games;event=Team dressage;discipline=equestrian-dressage-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-dressage-equestrian_team-dressage_mixed,equestrian_team_United_States_USA,2,silver,edition=FEI World Equestrian Games;event=Team dressage;discipline=equestrian-dressage-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
fei_world_championships_2002_equestrian-dressage-equestrian_team-dressage_mixed,equestrian_team_Spain_ESP,3,bronze,edition=FEI World Equestrian Games;event=Team dressage;discipline=equestrian-dressage-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,5.0
fei_world_championships_2002_equestrian-driving_individual-driving_mixed,equestrian_athlete_Ijsbrand_Chardon_NLD,1,gold,edition=FEI World Equestrian Games;event=Individual driving;discipline=equestrian-driving;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-driving_individual-driving_mixed,equestrian_athlete_Christoph_Sandmann_DEU,2,silver,edition=FEI World Equestrian Games;event=Individual driving;discipline=equestrian-driving;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
fei_world_championships_2002_equestrian-driving_individual-driving_mixed,equestrian_athlete_Tomas_Eriksson_SWE,3,bronze,edition=FEI World Equestrian Games;event=Individual driving;discipline=equestrian-driving;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,5.0
fei_world_championships_2002_equestrian-driving_team-driving_mixed,equestrian_team_Netherlands_NLD,1,gold,edition=FEI World Equestrian Games;event=Team driving;discipline=equestrian-driving;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-driving_team-driving_mixed,equestrian_team_United_States_USA,2,silver,edition=FEI World Equestrian Games;event=Team driving;discipline=equestrian-driving;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
fei_world_championships_2002_equestrian-driving_team-driving_mixed,equestrian_team_Germany_DEU,3,bronze,edition=FEI World Equestrian Games;event=Team driving;discipline=equestrian-driving;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,5.0
fei_world_championships_2002_equestrian-endurance_individual-endurance_mixed,equestrian_athlete_Ahmed_bin_Mohd_al_Maktoum_ARE,1,gold,edition=FEI World Equestrian Games;event=Individual endurance;discipline=equestrian-endurance;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-endurance_individual-endurance_mixed,equestrian_athlete_Antonio_Rosi_ITA,2,silver,edition=FEI World Equestrian Games;event=Individual endurance;discipline=equestrian-endurance;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
fei_world_championships_2002_equestrian-endurance_individual-endurance_mixed,equestrian_athlete_Sunny_Demedy_FRA,3,bronze,edition=FEI World Equestrian Games;event=Individual endurance;discipline=equestrian-endurance;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,5.0
fei_world_championships_2002_equestrian-endurance_team-endurance_mixed,equestrian_team_France_FRA,1,gold,edition=FEI World Equestrian Games;event=Team endurance;discipline=equestrian-endurance;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-endurance_team-endurance_mixed,equestrian_team_Italy_ITA,2,silver,edition=FEI World Equestrian Games;event=Team endurance;discipline=equestrian-endurance;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
fei_world_championships_2002_equestrian-endurance_team-endurance_mixed,equestrian_team_Australia_AUS,3,bronze,edition=FEI World Equestrian Games;event=Team endurance;discipline=equestrian-endurance;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,5.0
fei_world_championships_2002_equestrian-eventing-equestrian_individual-eventing_mixed,equestrian_athlete_Jean_Teulere_FRA,1,gold,edition=FEI World Equestrian Games;event=Individual eventing;discipline=equestrian-eventing-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-eventing-equestrian_individual-eventing_mixed,equestrian_athlete_Jeanette_Brakewell_GBR,2,silver,edition=FEI World Equestrian Games;event=Individual eventing;discipline=equestrian-eventing-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
fei_world_championships_2002_equestrian-eventing-equestrian_individual-eventing_mixed,equestrian_athlete_Piia_Pantsu_FIN,3,bronze,edition=FEI World Equestrian Games;event=Individual eventing;discipline=equestrian-eventing-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,5.0
fei_world_championships_2002_equestrian-eventing-equestrian_team-eventing_mixed,equestrian_team_United_States_USA,1,gold,edition=FEI World Equestrian Games;event=Team eventing;discipline=equestrian-eventing-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-eventing-equestrian_team-eventing_mixed,equestrian_team_France_FRA,2,silver,edition=FEI World Equestrian Games;event=Team eventing;discipline=equestrian-eventing-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
fei_world_championships_2002_equestrian-eventing-equestrian_team-eventing_mixed,equestrian_team_United_Kingdom_GBR,3,bronze,edition=FEI World Equestrian Games;event=Team eventing;discipline=equestrian-eventing-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,5.0
fei_world_championships_2002_equestrian-jumping-equestrian_individual-jumping_mixed,equestrian_athlete_Dermott_Lennon_IRL,1,gold,edition=FEI World Equestrian Games;event=Individual jumping;discipline=equestrian-jumping-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-jumping-equestrian_individual-jumping_mixed,equestrian_athlete_Eric_Navet_FRA,2,silver,edition=FEI World Equestrian Games;event=Individual jumping;discipline=equestrian-jumping-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
fei_world_championships_2002_equestrian-jumping-equestrian_individual-jumping_mixed,equestrian_athlete_Peter_Wylde_USA,3,bronze,edition=FEI World Equestrian Games;event=Individual jumping;discipline=equestrian-jumping-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,5.0
fei_world_championships_2002_equestrian-jumping-equestrian_team-jumping_mixed,equestrian_team_France_FRA,1,gold,edition=FEI World Equestrian Games;event=Team jumping;discipline=equestrian-jumping-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,10.0
fei_world_championships_2002_equestrian-jumping-equestrian_team-jumping_mixed,equestrian_team_Sweden_SWE,2,silver,edition=FEI World Equestrian Games;event=Team jumping;discipline=equestrian-jumping-equestrian;source_url=https://en.wikipedia.org/wiki/2002_FEI_World_Equestrian_Games,7.0
