country_id,iso2,iso3,name_en,name_fr
ARG,AR,ARG,Argentina,
USA,US,USA,United States,
CHL,CL,CHL,Chile,
EGY,EG,EGY,Egypt,
BRA,BR,BRA,Brazil,
PHL,PH,PHL,Philippines,
URY,UY,URY,Uruguay,
URS,,URS,Soviet Union,
YUG,,YUG,Yugoslavia,
ITA,IT,ITA,Italy,
PRI,PR,PRI,Puerto Rico,
ESP,ES,ESP,Spain,
RUS,RU,RUS,Russian Federation,
HRV,HR,HRV,Croatia,
GRC,GR,GRC,Greece,
DEU,DE,DEU,Germany,
NZL,NZ,NZL,New Zealand,
TUR,TR,TUR,Türkiye,
LTU,LT,LTU,Lithuania,
SRB,RS,SRB,Serbia,
FRA,FR,FRA,France,
AUS,AU,AUS,Australia,
CAN,CA,CAN,Canada,
TCH,,TCH,Czechoslovakia,
BGR,BG,BGR,Bulgaria,
KOR,KR,KOR,"Korea, Republic of",
JPN,JP,JPN,Japan,
CHN,CN,CHN,China,
CUB,CU,CUB,Cuba,
CZE,CZ,CZE,Czechia,
BLR,BY,BLR,Belarus,
BEL,BE,BEL,Belgium,
