event_id,competition_id,discipline_id,gender,event_class,event_date
fiba_basketball_world_cup_men_50,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1950-12-31
fiba_basketball_world_cup_men_54,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1954-12-31
fiba_basketball_world_cup_men_59,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1959-12-31
fiba_basketball_world_cup_men_63,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1963-12-31
fiba_basketball_world_cup_men_67,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1967-12-31
fiba_basketball_world_cup_men_70,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1970-12-31
fiba_basketball_world_cup_men_74,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1974-12-31
fiba_basketball_world_cup_men_78,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1978-12-31
fiba_basketball_world_cup_men_82,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1982-12-31
fiba_basketball_world_cup_men_86,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1986-12-31
fiba_basketball_world_cup_men_90,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1990-12-31
fiba_basketball_world_cup_men_94,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1994-12-31
fiba_basketball_world_cup_men_98,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,1998-12-31
fiba_basketball_world_cup_men_02,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,2002-12-31
fiba_basketball_world_cup_men_06,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,2006-12-31
fiba_basketball_world_cup_men_10,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,2010-12-31
fiba_basketball_world_cup_men_14,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,2014-12-31
fiba_basketball_world_cup_men_19,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,2019-12-31
fiba_basketball_world_cup_men_23,fiba_basketball_world_cup_men,basketball,men,final_ranking_top4,2023-12-31
fiba_basketball_world_cup_women_53,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1953-12-31
fiba_basketball_world_cup_women_57,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1957-12-31
fiba_basketball_world_cup_women_59,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1959-12-31
fiba_basketball_world_cup_women_64,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1964-12-31
fiba_basketball_world_cup_women_67,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1967-12-31
fiba_basketball_world_cup_women_71,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1971-12-31
fiba_basketball_world_cup_women_75,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1975-12-31
fiba_basketball_world_cup_women_79,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1979-12-31
fiba_basketball_world_cup_women_83,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1983-12-31
fiba_basketball_world_cup_women_86,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1986-12-31
fiba_basketball_world_cup_women_90,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1990-12-31
fiba_basketball_world_cup_women_94,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1994-12-31
fiba_basketball_world_cup_women_98,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,1998-12-31
fiba_basketball_world_cup_women_02,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,2002-12-31
fiba_basketball_world_cup_women_06,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,2006-12-31
fiba_basketball_world_cup_women_10,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,2010-12-31
fiba_basketball_world_cup_women_14,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,2014-12-31
fiba_basketball_world_cup_women_18,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,2018-12-31
fiba_basketball_world_cup_women_22,fiba_basketball_world_cup_women,basketball,women,final_ranking_top4,2022-12-31
