event_id,participant_id,rank,medal,score_raw,points_awarded
fiba_basketball_world_cup_men_50,ARG,1,gold,fiba_basketball_world_cup_final_rank=1,10.0
fiba_basketball_world_cup_men_50,USA,2,silver,fiba_basketball_world_cup_final_rank=2,7.0
fiba_basketball_world_cup_men_50,CHL,3,bronze,fiba_basketball_world_cup_final_rank=3,5.0
fiba_basketball_world_cup_men_50,EGY,4,,fiba_basketball_world_cup_final_rank=4,4.0
fiba_basketball_world_cup_men_54,USA,1,gold,fiba_basketball_world_cup_final_rank=1,10.0
fiba_basketball_world_cup_men_54,BRA,2,silver,fiba_basketball_world_cup_final_rank=2,7.0
fiba_basketball_world_cup_men_54,PHL,3,bronze,fiba_basketball_world_cup_final_rank=3,5.0
fiba_basketball_world_cup_men_54,URY,4,,fiba_basketball_world_cup_final_rank=4,4.0
fiba_basketball_world_cup_men_59,BRA,1,gold,fiba_basketball_world_cup_final_rank=1,10.0
fiba_basketball_world_cup_men_59,USA,2,silver,fiba_basketball_world_cup_final_rank=2,7.0
fiba_basketball_world_cup_men_59,CHL,3,bronze,fiba_basketball_world_cup_final_rank=3,5.0
fiba_basketball_world_cup_men_59,URS,4,,fiba_basketball_world_cup_final_rank=4,4.0
fiba_basketball_world_cup_men_63,BRA,1,gold,fiba_basketball_world_cup_final_rank=1,10.0
fiba_basketball_world_cup_men_63,YUG,2,silver,fiba_basketball_world_cup_final_rank=2,7.0
fiba_basketball_world_cup_men_63,URS,3,bronze,fiba_basketball_world_cup_final_rank=3,5.0
fiba_basketball_world_cup_men_63,USA,4,,fiba_basketball_world_cup_final_rank=4,4.0
fiba_basketball_world_cup_men_67,URS,1,gold,fiba_basketball_world_cup_final_rank=1,10.0
fiba_basketball_world_cup_men_67,YUG,2,silver,fiba_basketball_world_cup_final_rank=2,7.0
fiba_basketball_world_cup_men_67,BRA,3,bronze,fiba_basketball_world_cup_final_rank=3,5.0
fiba_basketball_world_cup_men_67,USA,4,,fiba_basketball_world_cup_final_rank=4,4.0
fiba_basketball_world_cup_men_70,YUG,1,gold,fiba_basketball_world_cup_final_rank=1,10.0
fiba_basketball_world_cup_men_70,BRA,2,silver,fiba_basketball_world_cup_final_rank=2,7.0
fiba_basketball_world_cup_men_70,URS,3,bronze,fiba_basketball_world_cup_final_rank=3,5.0
fiba_basketball_world_cup_men_70,ITA,4,,fiba_basketball_world_cup_final_rank=4,4.0
fiba_basketball_world_cup_men_74,URS,1,gold,fiba_basketball_world_cup_final_rank=1,10.0
