event_id,competition_id,discipline_id,gender,event_class,event_date
fiba_men_ranking_10,fiba_men_ranking,basketball,men,ranking_release_top10,2010-12-31
fiba_men_ranking_11,fiba_men_ranking,basketball,men,ranking_release_top10,2011-12-31
fiba_men_ranking_12,fiba_men_ranking,basketball,men,ranking_release_top10,2012-12-31
fiba_men_ranking_13,fiba_men_ranking,basketball,men,ranking_release_top10,2013-12-31
fiba_men_ranking_14,fiba_men_ranking,basketball,men,ranking_release_top10,2014-12-31
fiba_men_ranking_15,fiba_men_ranking,basketball,men,ranking_release_top10,2015-12-31
fiba_men_ranking_16,fiba_men_ranking,basketball,men,ranking_release_top10,2016-12-31
fiba_men_ranking_18,fiba_men_ranking,basketball,men,ranking_release_top10,2018-12-06
fiba_men_ranking_19,fiba_men_ranking,basketball,men,ranking_release_top10,2019-09-19
fiba_men_ranking_20,fiba_men_ranking,basketball,men,ranking_release_top10,2020-12-09
fiba_men_ranking_21,fiba_men_ranking,basketball,men,ranking_release_top10,2021-11-30
fiba_men_ranking_22,fiba_men_ranking,basketball,men,ranking_release_top10,2022-11-18
fiba_men_ranking_23,fiba_men_ranking,basketball,men,ranking_release_top10,2023-09-10
fiba_men_ranking_24,fiba_men_ranking,basketball,men,ranking_release_top10,2024-11-26
fiba_men_ranking_25,fiba_men_ranking,basketball,men,ranking_release_top10,2025-12-02
fiba_women_ranking_10,fiba_women_ranking,basketball,women,ranking_release_top10,2010-12-31
fiba_women_ranking_11,fiba_women_ranking,basketball,women,ranking_release_top10,2011-12-31
fiba_women_ranking_12,fiba_women_ranking,basketball,women,ranking_release_top10,2012-12-31
fiba_women_ranking_13,fiba_women_ranking,basketball,women,ranking_release_top10,2013-12-31
fiba_women_ranking_14,fiba_women_ranking,basketball,women,ranking_release_top10,2014-12-31
fiba_women_ranking_15,fiba_women_ranking,basketball,women,ranking_release_top10,2015-12-31
fiba_women_ranking_16,fiba_women_ranking,basketball,women,ranking_release_top10,2016-12-31
fiba_women_ranking_17,fiba_women_ranking,basketball,women,ranking_release_top10,2017-10-29
fiba_women_ranking_18,fiba_women_ranking,basketball,women,ranking_release_top10,2018-10-05
fiba_women_ranking_19,fiba_women_ranking,basketball,women,ranking_release_top10,2019-11-21
fiba_women_ranking_20,fiba_women_ranking,basketball,women,ranking_release_top10,2020-12-08
fiba_women_ranking_21,fiba_women_ranking,basketball,women,ranking_release_top10,2021-12-06
fiba_women_ranking_22,fiba_women_ranking,basketball,women,ranking_release_top10,2022-10-01
fiba_women_ranking_23,fiba_women_ranking,basketball,women,ranking_release_top10,2023-08-21
fiba_women_ranking_24,fiba_women_ranking,basketball,women,ranking_release_top10,2024-08-26
fiba_women_ranking_25,fiba_women_ranking,basketball,women,ranking_release_top10,2025-08-08
