event_id,participant_id,rank,medal,score_raw,points_awarded
fiba_men_ranking_10,USA,1,gold,fiba_points=892.0,892.0
fiba_men_ranking_10,ESP,2,silver,fiba_points=720.0,720.0
fiba_men_ranking_10,ARG,3,bronze,fiba_points=665.0,665.0
fiba_men_ranking_10,GRE,4,,fiba_points=489.0,489.0
fiba_men_ranking_10,LTU,5,,fiba_points=462.0,462.0
fiba_men_ranking_10,TUR,6,,fiba_points=301.0,301.0
fiba_men_ranking_10,ITA,7,,fiba_points=300.0,300.0
fiba_men_ranking_10,SRB,8,,fiba_points=234.0,234.0
fiba_men_ranking_10,AUS,9,,fiba_points=224.0,224.0
fiba_men_ranking_10,CHN,10,,fiba_points=219.7,219.7
fiba_men_ranking_11,USA,1,gold,fiba_points=852.0,852.0
fiba_men_ranking_11,ESP,2,silver,fiba_points=730.0,730.0
fiba_men_ranking_11,ARG,3,bronze,fiba_points=673.0,673.0
fiba_men_ranking_11,GRE,4,,fiba_points=488.0,488.0
fiba_men_ranking_11,LTU,5,,fiba_points=426.0,426.0
fiba_men_ranking_11,TUR,6,,fiba_points=302.0,302.0
fiba_men_ranking_11,ITA,7,,fiba_points=272.0,272.0
fiba_men_ranking_11,SRB,8,,fiba_points=232.0,232.0
fiba_men_ranking_11,AUS,9,,fiba_points=224.0,224.0
fiba_men_ranking_11,CHN,10,,fiba_points=219.7,219.7
fiba_men_ranking_12,USA,1,gold,fiba_points=952.0,952.0
fiba_men_ranking_12,ESP,2,silver,fiba_points=870.0,870.0
fiba_men_ranking_12,ARG,3,bronze,fiba_points=498.0,498.0
fiba_men_ranking_12,GRE,4,,fiba_points=418.0,418.0
fiba_men_ranking_12,LTU,5,,fiba_points=406.0,406.0
fiba_men_ranking_12,RUS,6,,fiba_points=363.0,363.0
fiba_men_ranking_12,TUR,7,,fiba_points=302.0,302.0
fiba_men_ranking_12,FRA,8,,fiba_points=260.0,260.0
fiba_men_ranking_12,BRA,9,,fiba_points=254.0,254.0
fiba_men_ranking_12,AUS,10,,fiba_points=234.0,234.0
fiba_men_ranking_13,USA,1,gold,fiba_points=940.0,940.0
fiba_men_ranking_13,ESP,2,silver,fiba_points=885.0,885.0
fiba_men_ranking_13,ARG,3,bronze,fiba_points=490.0,490.0
fiba_men_ranking_13,LTU,4,,fiba_points=432.0,432.0
fiba_men_ranking_13,GRE,5,,fiba_points=376.0,376.0
fiba_men_ranking_13,RUS,6,,fiba_points=353.0,353.0
fiba_men_ranking_13,TUR,7,,fiba_points=294.0,294.0
fiba_men_ranking_13,FRA,8,,fiba_points=280.0,280.0
fiba_men_ranking_13,AUS,9,,fiba_points=234.0,234.0
fiba_men_ranking_13,BRA,10,,fiba_points=222.0,222.0
fiba_men_ranking_14,USA,1,gold,fiba_points=1040.0,1040.0
fiba_men_ranking_14,ESP,2,silver,fiba_points=705.0,705.0
fiba_men_ranking_14,ARG,3,bronze,fiba_points=455.0,455.0
fiba_men_ranking_14,LTU,4,,fiba_points=447.0,447.0
fiba_men_ranking_14,FRA,5,,fiba_points=360.0,360.0
fiba_men_ranking_14,RUS,6,,fiba_points=353.0,353.0
fiba_men_ranking_14,SRB,7,,fiba_points=344.0,344.0
fiba_men_ranking_14,TUR,8,,fiba_points=284.0,284.0
fiba_men_ranking_14,BRA,9,,fiba_points=277.0,277.0
fiba_men_ranking_14,GRE,10,,fiba_points=226.0,226.0
fiba_men_ranking_15,USA,1,gold,fiba_points=1000.0,1000.0
fiba_men_ranking_15,ESP,2,silver,fiba_points=715.0,715.0
fiba_men_ranking_15,LTU,3,bronze,fiba_points=457.0,457.0
fiba_men_ranking_15,ARG,4,,fiba_points=455.0,455.0
fiba_men_ranking_15,FRA,5,,fiba_points=379.0,379.0
fiba_men_ranking_15,SRB,6,,fiba_points=353.0,353.0
fiba_men_ranking_15,RUS,7,,fiba_points=305.0,305.0
fiba_men_ranking_15,TUR,8,,fiba_points=281.0,281.0
fiba_men_ranking_15,BRA,9,,fiba_points=273.0,273.0
fiba_men_ranking_15,GRE,10,,fiba_points=225.0,225.0
fiba_men_ranking_16,USA,1,gold,fiba_points=1000.0,1000.0
fiba_men_ranking_16,ESP,2,silver,fiba_points=665.0,665.0
fiba_men_ranking_16,SRB,3,bronze,fiba_points=553.0,553.0
fiba_men_ranking_16,FRA,4,,fiba_points=444.0,444.0
fiba_men_ranking_16,LTU,5,,fiba_points=442.0,442.0
fiba_men_ranking_16,ARG,6,,fiba_points=360.0,360.0
fiba_men_ranking_16,BRA,7,,fiba_points=323.0,323.0
fiba_men_ranking_16,TUR,8,,fiba_points=281.0,281.0
fiba_men_ranking_16,RUS,9,,fiba_points=255.0,255.0
fiba_men_ranking_16,AUS,10,,fiba_points=234.0,234.0
fiba_men_ranking_18,USA,1,gold,fiba_points=783.01,783.01
fiba_men_ranking_18,ESP,2,silver,fiba_points=702.6,702.6
fiba_men_ranking_18,FRA,3,bronze,fiba_points=650.25,650.25
fiba_men_ranking_18,SRB,4,,fiba_points=645.02,645.02
fiba_men_ranking_18,ARG,5,,fiba_points=627.12,627.12
fiba_men_ranking_18,LTU,6,,fiba_points=621.01,621.01
fiba_men_ranking_18,SLO,7,,fiba_points=611.71,611.71
fiba_men_ranking_18,GRE,8,,fiba_points=587.86,587.86
fiba_men_ranking_18,CRO,9,,fiba_points=586.17,586.17
fiba_men_ranking_18,AUS,10,,fiba_points=509.89,509.89
fiba_men_ranking_19,USA,1,gold,fiba_points=786.45,786.45
fiba_men_ranking_19,ESP,2,silver,fiba_points=731.51,731.51
fiba_men_ranking_19,AUS,3,bronze,fiba_points=673.6,673.6
fiba_men_ranking_19,ARG,4,,fiba_points=670.47,670.47
fiba_men_ranking_19,FRA,5,,fiba_points=665.41,665.41
fiba_men_ranking_19,SRB,6,,fiba_points=661.63,661.63
fiba_men_ranking_19,GRE,7,,fiba_points=656.45,656.45
fiba_men_ranking_19,LTU,8,,fiba_points=643.87,643.87
fiba_men_ranking_19,RUS,9,,fiba_points=606.4,606.4
fiba_men_ranking_19,CZE,10,,fiba_points=596.75,596.75
fiba_men_ranking_20,USA,1,gold,fiba_points=781.4,781.4
fiba_men_ranking_20,ESP,2,silver,fiba_points=721.2,721.2
fiba_men_ranking_20,AUS,3,bronze,fiba_points=666.5,666.5
fiba_men_ranking_20,ARG,4,,fiba_points=662.3,662.3
fiba_men_ranking_20,SRB,5,,fiba_points=660.5,660.5
fiba_men_ranking_20,FRA,6,,fiba_points=657.9,657.9
fiba_men_ranking_20,GRE,7,,fiba_points=656.7,656.7
fiba_men_ranking_20,LTU,8,,fiba_points=633.4,633.4
fiba_men_ranking_20,RUS,9,,fiba_points=599.2,599.2
fiba_men_ranking_20,BRA,10,,fiba_points=591.9,591.9
fiba_men_ranking_21,USA,1,gold,fiba_points=763.3,763.3
fiba_men_ranking_21,ESP,2,silver,fiba_points=724.1,724.1
fiba_men_ranking_21,AUS,3,bronze,fiba_points=690.7,690.7
fiba_men_ranking_21,SLO,4,,fiba_points=676.3,676.3
fiba_men_ranking_21,FRA,5,,fiba_points=671.9,671.9
fiba_men_ranking_21,SRB,6,,fiba_points=664.6,664.6
fiba_men_ranking_21,ARG,7,,fiba_points=656.6,656.6
fiba_men_ranking_21,LTU,8,,fiba_points=649.5,649.5
fiba_men_ranking_21,ITA,9,,fiba_points=646.9,646.9
fiba_men_ranking_21,GRE,10,,fiba_points=641.0,641.0
fiba_men_ranking_22,ESP,1,gold,fiba_points=758.6,758.6
fiba_men_ranking_22,USA,2,silver,fiba_points=757.5,757.5
fiba_men_ranking_22,AUS,3,bronze,fiba_points=740.3,740.3
fiba_men_ranking_22,ARG,4,,fiba_points=734.3,734.3
fiba_men_ranking_22,FRA,5,,fiba_points=715.0,715.0
fiba_men_ranking_22,SRB,6,,fiba_points=710.9,710.9
fiba_men_ranking_22,SLO,7,,fiba_points=704.3,704.3
fiba_men_ranking_22,LTU,8,,fiba_points=669.5,669.5
fiba_men_ranking_22,GRE,9,,fiba_points=665.9,665.9
fiba_men_ranking_22,ITA,10,,fiba_points=646.6,646.6
fiba_men_ranking_23,USA,1,gold,fiba_points=786.6,786.6
fiba_men_ranking_23,ESP,2,silver,fiba_points=778.2,778.2
