event_id,competition_id,discipline_id,gender,event_class,event_date
fide_chess_olympiad_open_2002,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2002-12-31
fide_chess_olympiad_open_2004,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2004-12-31
fide_chess_olympiad_open_2006,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2006-12-31
fide_chess_olympiad_open_2008,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2008-12-31
fide_chess_olympiad_open_2010,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2010-12-31
fide_chess_olympiad_open_2012,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2012-12-31
fide_chess_olympiad_open_2014,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2014-12-31
fide_chess_olympiad_open_2016,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2016-12-31
fide_chess_olympiad_open_2018,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2018-12-31
fide_chess_olympiad_open_2022,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2022-12-31
fide_chess_olympiad_open_2024,fide_chess_olympiad_open,chess-team,open,final_ranking_top3,2024-12-31
fide_chess_olympiad_women_2002,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2002-12-31
fide_chess_olympiad_women_2004,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2004-12-31
fide_chess_olympiad_women_2006,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2006-12-31
fide_chess_olympiad_women_2008,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2008-12-31
fide_chess_olympiad_women_2010,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2010-12-31
fide_chess_olympiad_women_2012,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2012-12-31
fide_chess_olympiad_women_2014,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2014-12-31
fide_chess_olympiad_women_2016,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2016-12-31
fide_chess_olympiad_women_2018,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2018-12-31
fide_chess_olympiad_women_2022,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2022-12-31
fide_chess_olympiad_women_2024,fide_chess_olympiad_women,chess-team,women,final_ranking_top3,2024-12-31
