event_id,participant_id,rank,medal,score_raw,points_awarded
fide_chess_olympiad_open_2002,RUS,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2002,HUN,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2002,ARM,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2004,UKR,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2004,RUS,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2004,ARM,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2006,ARM,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2006,CHN,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2006,USA,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2008,ARM,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2008,ISR,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2008,USA,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2010,UKR,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2010,RUS,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2010,ISR,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2012,ARM,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2012,RUS,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2012,UKR,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2014,CHN,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2014,HUN,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2014,IND,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2016,USA,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2016,UKR,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2016,RUS,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2018,CHN,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2018,USA,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2018,RUS,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2022,UZB,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2022,ARM,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2022,IND2,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_open_2024,IND,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,10.0
fide_chess_olympiad_open_2024,USA,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,7.0
fide_chess_olympiad_open_2024,UZB,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Chess_Olympiad,5.0
fide_chess_olympiad_women_2002,CHN,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,10.0
fide_chess_olympiad_women_2002,RUS,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,7.0
fide_chess_olympiad_women_2002,POL,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,5.0
fide_chess_olympiad_women_2004,CHN,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,10.0
fide_chess_olympiad_women_2004,USA,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,7.0
fide_chess_olympiad_women_2004,RUS,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,5.0
fide_chess_olympiad_women_2006,UKR,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,10.0
fide_chess_olympiad_women_2006,RUS,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,7.0
fide_chess_olympiad_women_2006,CHN,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,5.0
fide_chess_olympiad_women_2008,GEO,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,10.0
fide_chess_olympiad_women_2008,UKR,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,7.0
fide_chess_olympiad_women_2008,USA,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,5.0
fide_chess_olympiad_women_2010,RUS,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,10.0
fide_chess_olympiad_women_2010,CHN,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,7.0
fide_chess_olympiad_women_2010,GEO,3,bronze,fide_chess_olympiad_final_rank=3;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,5.0
fide_chess_olympiad_women_2012,RUS,1,gold,fide_chess_olympiad_final_rank=1;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,10.0
fide_chess_olympiad_women_2012,CHN,2,silver,fide_chess_olympiad_final_rank=2;source_url=https://en.wikipedia.org/wiki/Women%27s_Chess_Olympiad,7.0
