event_id,competition_id,discipline_id,gender,event_class,event_date
fie_world_championships_2001_men_individual_epee,fie_world_championships,epee,men,podium_top3_individual,2001-12-31
fie_world_championships_2001_men_team_epee,fie_world_championships,epee,men,podium_top3_team,2001-12-31
fie_world_championships_2001_men_individual_foil,fie_world_championships,foil,men,podium_top3_individual,2001-12-31
fie_world_championships_2001_men_team_foil,fie_world_championships,foil,men,podium_top3_team,2001-12-31
fie_world_championships_2001_men_individual_sabre,fie_world_championships,sabre,men,podium_top3_individual,2001-12-31
fie_world_championships_2001_men_team_sabre,fie_world_championships,sabre,men,podium_top3_team,2001-12-31
fie_world_championships_2001_women_individual_epee,fie_world_championships,epee,women,podium_top3_individual,2001-12-31
fie_world_championships_2001_women_team_epee,fie_world_championships,epee,women,podium_top3_team,2001-12-31
fie_world_championships_2001_women_individual_foil,fie_world_championships,foil,women,podium_top3_individual,2001-12-31
fie_world_championships_2001_women_team_foil,fie_world_championships,foil,women,podium_top3_team,2001-12-31
fie_world_championships_2001_women_individual_sabre,fie_world_championships,sabre,women,podium_top3_individual,2001-12-31
fie_world_championships_2001_women_team_sabre,fie_world_championships,sabre,women,podium_top3_team,2001-12-31
fie_world_championships_2002_men_individual_epee,fie_world_championships,epee,men,podium_top3_individual,2002-12-31
fie_world_championships_2002_men_team_epee,fie_world_championships,epee,men,podium_top3_team,2002-12-31
fie_world_championships_2002_men_individual_foil,fie_world_championships,foil,men,podium_top3_individual,2002-12-31
fie_world_championships_2002_men_team_foil,fie_world_championships,foil,men,podium_top3_team,2002-12-31
fie_world_championships_2002_men_individual_sabre,fie_world_championships,sabre,men,podium_top3_individual,2002-12-31
fie_world_championships_2002_men_team_sabre,fie_world_championships,sabre,men,podium_top3_team,2002-12-31
fie_world_championships_2002_women_individual_epee,fie_world_championships,epee,women,podium_top3_individual,2002-12-31
fie_world_championships_2002_women_team_epee,fie_world_championships,epee,women,podium_top3_team,2002-12-31
fie_world_championships_2002_women_individual_foil,fie_world_championships,foil,women,podium_top3_individual,2002-12-31
fie_world_championships_2002_women_team_foil,fie_world_championships,foil,women,podium_top3_team,2002-12-31
fie_world_championships_2002_women_individual_sabre,fie_world_championships,sabre,women,podium_top3_individual,2002-12-31
fie_world_championships_2002_women_team_sabre,fie_world_championships,sabre,women,podium_top3_team,2002-12-31
fie_world_championships_2003_men_team_epee,fie_world_championships,epee,men,podium_top3_team,2003-12-31
fie_world_championships_2003_men_team_foil,fie_world_championships,foil,men,podium_top3_team,2003-12-31
fie_world_championships_2003_men_team_sabre,fie_world_championships,sabre,men,podium_top3_team,2003-12-31
fie_world_championships_2003_women_individual_epee,fie_world_championships,epee,women,podium_top3_individual,2003-12-31
fie_world_championships_2003_women_team_epee,fie_world_championships,epee,women,podium_top3_team,2003-12-31
fie_world_championships_2003_women_individual_foil,fie_world_championships,foil,women,podium_top3_individual,2003-12-31
fie_world_championships_2003_women_team_foil,fie_world_championships,foil,women,podium_top3_team,2003-12-31
fie_world_championships_2003_women_individual_sabre,fie_world_championships,sabre,women,podium_top3_individual,2003-12-31
fie_world_championships_2003_women_team_sabre,fie_world_championships,sabre,women,podium_top3_team,2003-12-31
fie_world_championships_2004_women_team_foil,fie_world_championships,foil,women,podium_top3_team,2004-12-31
fie_world_championships_2004_women_team_sabre,fie_world_championships,sabre,women,podium_top3_team,2004-12-31
fie_world_championships_2005_men_team_epee,fie_world_championships,epee,men,podium_top3_team,2005-12-31
fie_world_championships_2005_men_team_foil,fie_world_championships,foil,men,podium_top3_team,2005-12-31
