participant_id,type,display_name,country_id
athlete_Paolo_Milanoli_ITA,athlete,Paolo Milanoli,ITA
athlete_Basil_Hoffmann_CHE,athlete,Basil Hoffmann,CHE
athlete_Oliver_Lücke_DEU,athlete,Oliver Lücke,DEU
athlete_Fabrice_Jeannet_FRA,athlete,Fabrice Jeannet,FRA
HUN,team,Hungary,HUN
EST,team,Estonia,EST
FRA,team,France,FRA
athlete_Salvatore_Sanzo_ITA,athlete,Salvatore Sanzo,ITA
athlete_Loïc_Attely_FRA,athlete,Loïc Attely,FRA
athlete_Brice_Guyart_FRA,athlete,Brice Guyart,FRA
athlete_Franck_Boidin_FRA,athlete,Franck Boidin,FRA
POL,team,Poland,POL
CUB,team,Cuba,CUB
athlete_Stanislav_Pozdnyakov_RUS,athlete,Stanislav Pozdnyakov,RUS
athlete_Julien_Pillet_FRA,athlete,Julien Pillet,FRA
athlete_Mathieu_Gourdain_FRA,athlete,Mathieu Gourdain,FRA
athlete_Rafal_Sznajder_POL,athlete,Rafal Sznajder,POL
RUS,team,Russian Federation,RUS
ROU,team,Romania,ROU
athlete_Claudia_Bokel_DEU,athlete,Claudia Bokel,DEU
athlete_Laura_Flessel-Colovic_FRA,athlete,Laura Flessel-Colovic,FRA
athlete_Gianna_Hablützel-Bürki_CHE,athlete,Gianna Hablützel-Bürki,CHE
athlete_Maria_Isaksson_SWE,athlete,Maria Isaksson,SWE
CHE,team,Switzerland,CHE
athlete_Valentina_Vezzali_ITA,athlete,Valentina Vezzali,ITA
athlete_Sabine_Bau_DEU,athlete,Sabine Bau,DEU
athlete_Roxana_Scarlat_ROU,athlete,Roxana Scarlat,ROU
athlete_Ekaterina_Youcheva_RUS,athlete,Ekaterina Youcheva,RUS
ITA,team,Italy,ITA
USA,team,United States,USA
athlete_Anne-Lise_Touya_FRA,athlete,Anne-Lise Touya,FRA
athlete_Ilaria_Bianco_ITA,athlete,Ilaria Bianco,ITA
athlete_Yelena_Jemayeva_AZE,athlete,Yelena Jemayeva,AZE
athlete_Gioia_Marzocca_ITA,athlete,Gioia Marzocca,ITA
DEU,team,Germany,DEU
athlete_Pavel_Kolobkov_RUS,athlete,Pavel Kolobkov,RUS
athlete_Vitaly_Zakharov_BLR,athlete,Vitaly Zakharov,BLR
athlete_Ku_Kyo-dong_KOR,athlete,Ku Kyo-dong,KOR
KOR,team,"Korea, Republic of",KOR
