event_id,participant_id,rank,medal,score_raw,points_awarded
fie_world_championships_2001_men_individual_epee,athlete_Basil_Hoffmann_CHE,2,silver,discipline=epee;format=individual;event=Men Individual Epee;country=CHE;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,2.0
fie_world_championships_2001_men_individual_epee,athlete_Fabrice_Jeannet_FRA,3,bronze,discipline=epee;format=individual;event=Men Individual Epee;country=FRA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_men_individual_epee,athlete_Oliver_Lücke_DEU,3,bronze,discipline=epee;format=individual;event=Men Individual Epee;country=DEU;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_men_individual_epee,athlete_Paolo_Milanoli_ITA,1,gold,discipline=epee;format=individual;event=Men Individual Epee;country=ITA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,3.0
fie_world_championships_2001_men_individual_foil,athlete_Brice_Guyart_FRA,3,bronze,discipline=foil;format=individual;event=Men Individual Foil;country=FRA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_men_individual_foil,athlete_Franck_Boidin_FRA,3,bronze,discipline=foil;format=individual;event=Men Individual Foil;country=FRA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_men_individual_foil,athlete_Loïc_Attely_FRA,2,silver,discipline=foil;format=individual;event=Men Individual Foil;country=FRA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,2.0
fie_world_championships_2001_men_individual_foil,athlete_Salvatore_Sanzo_ITA,1,gold,discipline=foil;format=individual;event=Men Individual Foil;country=ITA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,3.0
fie_world_championships_2001_men_individual_sabre,athlete_Julien_Pillet_FRA,2,silver,discipline=sabre;format=individual;event=Men Individual Sabre;country=FRA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,2.0
fie_world_championships_2001_men_individual_sabre,athlete_Mathieu_Gourdain_FRA,3,bronze,discipline=sabre;format=individual;event=Men Individual Sabre;country=FRA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_men_individual_sabre,athlete_Rafal_Sznajder_POL,3,bronze,discipline=sabre;format=individual;event=Men Individual Sabre;country=POL;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_men_individual_sabre,athlete_Stanislav_Pozdnyakov_RUS,1,gold,discipline=sabre;format=individual;event=Men Individual Sabre;country=RUS;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,3.0
fie_world_championships_2001_men_team_epee,EST,2,silver,discipline=epee;format=team;event=Men Team Epee;country=EST;team_members=Kaido Kaaberma; Nikolai Novosjolov; Sergei Vaht; Meelis Loit;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,2.0
fie_world_championships_2001_men_team_epee,FRA,3,bronze,discipline=epee;format=team;event=Men Team Epee;country=FRA;team_members=Fabrice Jeannet; Hugues Obry; Rémy Delhomme; Jérôme Jeannet;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_men_team_epee,HUN,1,gold,discipline=epee;format=team;event=Men Team Epee;country=HUN;team_members=Krisztián Kulcsár; Iván Kovács; Géza Imre; Attila Fekete;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,3.0
fie_world_championships_2001_men_team_foil,CUB,3,bronze,discipline=foil;format=team;event=Men Team Foil;country=CUB;team_members=Elvis Gregory; Oscar García; Raúl Perojo; Eddy Patterson;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_men_team_foil,FRA,1,gold,discipline=foil;format=team;event=Men Team Foil;country=FRA;team_members=Loïc Attely; Jean-Noël Ferrari; Brice Guyart; Franck Boidin;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,3.0
fie_world_championships_2001_men_team_foil,POL,2,silver,discipline=foil;format=team;event=Men Team Foil;country=POL;team_members=Adam Krzesiński; Sławomir Mocek; Tomasz Ciepły; Piotr Kielpikowski;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,2.0
fie_world_championships_2001_men_team_sabre,HUN,2,silver,discipline=sabre;format=team;event=Men Team Sabre;country=HUN;team_members=Domonkos Ferjancsik; Kende Fodor; Balázs Lengyel; Zsolt Nemcsik;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,2.0
fie_world_championships_2001_men_team_sabre,ROU,3,bronze,discipline=sabre;format=team;event=Men Team Sabre;country=ROU;team_members=Mihai Covaliu; Florin Zalomir; Florin Lupeică; Victor Găureanu;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_men_team_sabre,RUS,1,gold,discipline=sabre;format=team;event=Men Team Sabre;country=RUS;team_members=Stanislav Pozdnyakov; Sergey Sharikov; Aleksey Frosin; Aleksey Dyachenko;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,3.0
fie_world_championships_2001_women_individual_epee,athlete_Claudia_Bokel_DEU,1,gold,discipline=epee;format=individual;event=Women Individual Epee;country=DEU;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,3.0
fie_world_championships_2001_women_individual_epee,athlete_Gianna_Hablützel-Bürki_CHE,3,bronze,discipline=epee;format=individual;event=Women Individual Epee;country=CHE;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_women_individual_epee,athlete_Laura_Flessel-Colovic_FRA,2,silver,discipline=epee;format=individual;event=Women Individual Epee;country=FRA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,2.0
fie_world_championships_2001_women_individual_epee,athlete_Maria_Isaksson_SWE,3,bronze,discipline=epee;format=individual;event=Women Individual Epee;country=SWE;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_women_individual_foil,athlete_Ekaterina_Youcheva_RUS,3,bronze,discipline=foil;format=individual;event=Women Individual Foil;country=RUS;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_women_individual_foil,athlete_Roxana_Scarlat_ROU,3,bronze,discipline=foil;format=individual;event=Women Individual Foil;country=ROU;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,1.0
fie_world_championships_2001_women_individual_foil,athlete_Sabine_Bau_DEU,2,silver,discipline=foil;format=individual;event=Women Individual Foil;country=DEU;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,2.0
fie_world_championships_2001_women_individual_foil,athlete_Valentina_Vezzali_ITA,1,gold,discipline=foil;format=individual;event=Women Individual Foil;country=ITA;team_members=;source_url=https://en.wikipedia.org/wiki/2001_World_Fencing_Championships,3.0
