event_id,participant_id,rank,medal,score_raw,points_awarded
fifa_beach_soccer_world_cup_2005,FRA,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2005,PRT,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2005,BRA,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2005,JPN,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2006,BRA,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2006,URU,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2006,FRA,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2006,PRT,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2007,BRA,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2007,MEX,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2007,URU,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2007,FRA,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2008,BRA,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2008,ITA,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2008,PRT,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2008,ESP,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2009,BRA,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2009,SUI,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2009,PRT,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2009,URU,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2011,RUS,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2011,BRA,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2011,PRT,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2011,SLV,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2013,RUS,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2013,ESP,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2013,BRA,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2013,TAH,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2015,PRT,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2015,TAH,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2015,RUS,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2015,ITA,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2017,BRA,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2017,TAH,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2017,IRN,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2017,ITA,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2019,PRT,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
fifa_beach_soccer_world_cup_2019,ITA,2,silver,fifa_beach_soccer_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,7.0
fifa_beach_soccer_world_cup_2019,RUS,3,bronze,fifa_beach_soccer_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,5.0
fifa_beach_soccer_world_cup_2019,JPN,4,,fifa_beach_soccer_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,4.0
fifa_beach_soccer_world_cup_2021,RUS,1,gold,fifa_beach_soccer_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Beach_Soccer_World_Cup,10.0
